variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,22735.69305,2639.763002,3268.712755,18984.59806,29363.59358,13803.320945049109,12480.11989,44942.03470804167,38372.96858533171,1263.9224550197898,1646.5261428797467,11970.930006516926,24328.21689111492,29064.020031264852,9953.386089646978,9513.632846768733,81545.82039,10872.975310504467,27224.72214238414,51234.720025569026,40665.57259570351,13278.252445995275,7743.097086089039,1600.5917150543626,1984.5263990627218,275.85083698604706,2515.5716295608663,8096.27518137496,1067.2219903912894,4341.69651479136,12239.072105762598,12957.457164025618,21291.178241774767,36833.716341230334,2166.276201621215,6171.981431,38335.6151705668,11038.289042037528,6672.925703322818,7087.123813931243,5493.8707206513045,726.3011028506517,31667.574665957443,17991.469383211293,35909.05444462488,4925.51162525287,36069.312952166685,3207.76677,11789.130113725809,38063.31852387267,6122.006720808852,1385.306300976356,945.1410767222457,25750,1654.4631064329083,943.535210199944,22674.713869626114,29421.56364530141,6272.259743,6614.585313931287,19600,4933.714786008617,41385.464243195514,4239.049316205041,17529.967944805405,1610.2965950506375,4651.936489021176,3616.940782793896,39021.23342669858,12433.152630390045,4906.225516110006,40681.563080704465,28414.56076188935,31541.513815958446,10343.967292630712,5366.161400381787,36614.91617890003,1322.9134835210368,2024.9867350107918,1117.942592,10843.3493,28746.15297691429,48467.30753614164,14266.188235302463,406.12659449561124,21818.655802446905,13689.624259326201,4603.126966705431,17301.724942600078,14435.431063826009,37544.2387,3673.7595004565055,188409.5975,855.6369867574878,6375.987436820361,13004.125665923964,2718.960878,23989.63080177184,363.5379442,4384.986757,811.4215218612987,1627.0905286965358,28157.89474,10688.474917562877,12627.302340687307,4988.174133033533,34647.55078,2184.4087635257874,2389.4972863411062,46541.97198926526,54381.30831741616,9867.771857,30652.419311578215,24490.116329474,2804.053388832223,11095.3575856029,8175.1658885357365,3400.5116063879273,8000,2719.1404312693608,18754.606247671556,28494.909871168617,508.4976404,22759.57573701905,3132.106957,20176.69788,57897.6137,24971.04548,11377.092629834979,16355.041396446584,22662.385622735223,2451.9013642400005,1642.5555607618246,49391.843782795666,2063.3551454990074,868.9094546058176,7039.9236587543355,541.301345280484,1993.2539146003544,11124.451959301306,28118.775705332857,38810.69916950779,13194.76299,4856.1677390176455,888.5184634886572,8482.046697333306,1325.6586435956615,9044.392007149858,32463.77500732408,7140.467049844986,11939.292853857247,3524.392506,19281.38875,1241.2159687739133,7353.638517534934,12336.633547099753,46396.93768248608,8054.523267997767,9758.626808406956,9599.69281,3299.9657833784036,6803.730160608551,7786.470944663836,2601.6207741943317,8463.206491628027
2,27984.23969,3311.120413,4707.125674,23017.67041,32312.47461,19859.660627373327,14550.86695,59558.9959563906,51289.861842032966,1546.112838089217,2321.0511938385384,18871.0976933445,39349.11965179887,36855.7887936042,16602.765139918185,12539.58033183353,102545.9358,14381.268117953035,22355.401788769646,33211.80420205735,46837.977316537195,17240.63856626762,20349.47468883982,1731.860739385454,2641.864292541795,972.9544472086487,4409.68135844908,11566.17584215742,1351.793508060304,6899.51228084141,16020.591973833492,19850.784656276264,31226.699464472767,37499.51307211958,2449.4286488064095,8279.718875,38812.623370315516,15536.439113901302,8012.149641388434,9967.787779225691,7862.839045304046,1087.8955764972686,39902.74215933707,23820.283127201834,42327.030081920726,7640.723498963844,43476.49181907831,5523.674741,12221.875211318935,47504.93248918181,17937.693254214493,1972.5303788256176,1175.174873243087,31694.40097,2958.017197768513,1470.818929160467,28422.962947537275,39167.81237560674,8145.624544,9925.580639243872,33750.5912,6272.469630328935,47030.11664766514,5837.248904042469,23090.11153044244,2293.202974770565,9284.904611532178,8883.70763296875,43707.22255028667,15554.940406704036,12095.342429151044,49166.81855599281,27256.771803864198,40284.66624003588,13978.378916112875,8738.993858135758,37691.5583562274,2160.981230845135,4314.917443931812,1720.633648,12427.5718,31306.759894316325,49933.43296175002,21054.742244197514,862.0486779467551,19571.85726184468,17921.24333252349,5395.9475545654595,23882.268791696595,21518.398800665647,41917.15501,4912.859284328974,231904.0517,1261.4079983807821,6817.989703025403,16710.204238011895,4681.966178,33694.94424051594,604.1251994,6445.77637,1531.219207772718,2554.1536850735406,34658.15947,12473.730844815478,15485.312727703098,7374.785228796267,42645.956,4203.5524120991495,3290.7233762821556,55637.88382403389,66471.90431996205,16991.99663,36972.026309395646,27429.78045007566,3506.1081133137914,17837.143067593373,13024.778459322975,4605.072190356354,13775.75151,6220.6212480259355,28590.330101951124,29068.57816808774,874.398933,27487.447779997656,4746.596665,34743.64704,62242.69366,42999.36469,18598.51468098883,24053.059039781183,23749.145489031205,3823.887083346825,2411.76383049477,66872.70316819288,4398.146607100282,1696.2014339760717,8620.66786831716,807.6689674160605,2945.5097750445357,19623.68684933715,28995.268631401585,50380.90339713311,20697.90925,6752.621820916436,924.1244520676021,11995.725558462198,3323.077499051994,10833.642979389395,34092.222920311135,9787.341059981678,14641.638145247442,6068.894424,25045.15,2198.428675520831,14828.456379009625,19299.913041499287,50895.30274193505,15480.573493674543,15920.643816453148,11815.78692,7670.118254870624,11478.401454389834,10621.27003389522,6862.879355365509,11629.360124268569
3,32800.60772,3943.180641,6647.03191,27928.84188,34449.8061,26440.40097386223,16509.02885,76123.58362338727,71893.5627955907,2348.4459680183563,3451.549605389358,25055.636950318098,50734.671683872744,46267.729578405124,25734.665195371075,17608.251916170502,124109.2678,18887.566687683982,22538.43532418103,24353.873268051146,58286.20017761654,23044.365877322693,33961.51405330208,2518.1981912038423,4186.131641642428,3532.512284364918,8819.100838961118,15553.709530243157,2262.242403510332,8883.797974253994,19710.398087096957,26867.425793203012,44734.25614133077,40622.41732134508,3038.687630078694,10975.90046,43269.04862483708,19778.880533619136,11088.278536192609,14524.66673951441,11369.536846999923,2677.268505618515,54136.432696596064,30301.187171239715,52110.52632383136,13712.251562741083,59597.46660077121,9511.596333,15002.006401661192,66242.16617229332,35895.93759115982,3069.487093456895,1945.2096361041504,37149.32494,4741.256309280857,2335.045347142083,32140.00882270158,53482.99636779395,11004.43837,14035.177813027594,58117.46973,8763.958294681786,54205.966324917186,8609.608245166255,29190.555013346097,4006.259127881527,17039.00531201422,17528.091460395342,56271.08206433749,18808.617497397063,23729.51582128523,63268.90673804377,27740.192269137606,59314.81776690466,23291.509507526353,14675.11904975624,43119.71341507767,4305.953188037937,8770.922328291805,2700.234273,13999.13013,33572.19906577806,42862.17384428786,25228.749751034018,1799.4258356319137,18907.731098814533,22279.216648796464,6307.967154919455,31046.937218757477,29969.385497851403,45046.41533,6819.883398005871,271817.0624,2065.1630435381903,8851.241121810861,23095.80907065324,8062.200332,48937.50795400951,1029.265464,9140.74515,2495.991577687612,3937.848684817902,40623.17596,13838.335574641285,20345.55203978938,11632.999181984598,49985.75231,6699.9864803142145,5005.446389317589,68419.68714355565,82066.40815318403,29259.69042,45349.44573328567,30537.71906828953,5198.060179126529,22165.87828813859,17938.493648348176,7174.96185396858,23721.41621,11261.982188637734,37685.14433615023,33757.80059420657,1516.580802,41140.27262887342,7951.70063,59827.48103,70361.51871,74043.57039,27601.38567767729,30397.56167762946,24723.774370558043,6137.020023199076,3764.6135434074517,74484.75792525969,7824.4125661432845,2731.2751932398446,11402.23827098674,1521.246117200317,3811.653751450835,27548.76462867202,30544.492253656757,68692.8656901194,32769.99649,10095.841168717136,1145.8168101836798,16588.12634642343,7945.409206717772,14770.749784321904,26077.33335716934,12483.942359369059,20123.93953029198,10450.44769,30414.08464,3042.7690191305455,27739.79666703797,26143.34845275461,60196.160204503874,21174.166376588502,25134.969256434804,13849.40223,14722.917184908396,17255.155217109903,16264.851679172216,19830.27186125814,17425.18650993552
4,38445.92094,4891.646989,9244.803425,34971.17677,37316.54519,34513.84399567235,19259.21001,93022.37084307948,92210.62035035799,3854.0767881961606,5488.32449120362,30958.612540651855,63864.95316131566,58212.248252101395,34288.23023679163,22711.830904446313,152879.7103,25729.847072989003,28389.226996638903,25742.501369179932,72007.4960967244,30512.768657826557,45851.25258183176,4352.0897622997345,6934.458191357739,7876.701177984702,13904.434498715582,21170.086209902616,3952.0192633,11774.711477391624,24598.035346685596,34069.75133812577,56533.13589020932,48029.87052259963,4520.135330862192,16593.02854,51603.32559311432,26115.925102196667,16810.46226411627,20197.091296974148,17020.25383504751,5032.225140335721,70039.01336426633,36292.56103080764,63946.118726789704,19967.341093590687,77365.47640149435,15622.28901,20074.75957212898,86730.56761821068,41724.462656871576,5378.218397184533,3666.2557285689236,43543.09596,7442.622932094971,3942.9400838650863,38365.5229290351,71266.66763878253,17040.83244,19242.121436024456,95454.84024,13154.625273228683,67132.00550706942,12522.09018596129,35908.91666224781,6955.45289164717,25511.311649106836,26200.070198287856,70059.16614747941,24248.81099642335,31454.761056602572,79777.79708462571,32144.400478312837,78811.3025171848,32684.954783837045,21002.892379061577,51663.19131946774,8055.481824159616,14593.242121258943,4196.626443,16222.19657,39218.162312655775,44445.19231482489,31296.3077123985,3375.346856276021,23428.90038648151,28537.631086519654,9132.386000399994,35737.037439018946,35943.21296420051,49912.46912,10101.397600890026,318599.5023,3347.5134836525285,12285.703183619165,31558.115590177415,13241.73348,65098.250646014385,1723.890889,12508.06367,4077.932910107168,6217.727766653559,47614.83156,17482.19408381187,27545.27093242611,17998.041623912322,58588.8011,10805.625668846955,7847.583209180641,82922.44910541485,97936.25811833274,48057.47888,55912.30600737155,33600.65770465752,8551.154239476573,27512.956247005208,23551.709313278774,11497.882915747521,38961.15928,16537.50763699072,45647.75336980556,39745.79202027137,2564.610147,60304.20043765994,12700.46218,98263.44247,78621.53627,121612.61,35513.56361130142,36334.94020778087,29530.037041287134,9308.082944916529,5884.198948712349,84256.34875567001,11786.821044632543,4369.977072858786,16171.960954803697,2733.6760548090024,5243.848236382629,36354.50640552543,36167.14414702797,86553.1802830597,52897.00604,14395.577214195073,1797.4659791910847,23116.888928773194,14730.841251661634,20464.802784285253,27927.897105918302,18100.3887984533,26458.765379295586,17164.30222,37031.00283,4445.394006467196,37231.5199154314,32313.402917338568,72195.10616482137,26406.24422121897,32731.146729204665,16233.02312,20999.84218927805,23763.957546997975,22989.42205686765,31931.38300444741,25975.035318760474
5,45062.84914,5707.265517,12584.06961,44605.39167,41046.36813,44127.10456294472,23007.02494,108093.63179996308,109797.0136599557,6536.865616195535,8852.588747577189,36852.14888276115,79007.26063625196,71587.64746774762,43087.9895303687,28508.459287716727,189895.7966,35112.591535923,36848.57748235157,32553.11387099325,85375.40966252753,38230.34744535841,57802.36858857299,7795.300777109736,11171.468327307668,13303.766318815717,19506.512170403224,29768.15223650551,7154.227587391702,16594.74480943128,31341.042508994447,41868.246369538865,68021.31005632629,58458.75590114702,7148.0637778193595,28084.05199,62177.95275906555,33612.02517371433,24538.738899261152,27815.327755246475,24379.648798188802,8209.78886187882,86195.85046027716,42594.431612609806,76482.35813784464,26100.52128451296,94430.50486792726,24468.32944,26704.60183582653,105656.60098961942,47920.87122023301,9511.150590616951,6918.913694375224,51037.29905,11716.368878717862,6745.833336008919,49463.30698258569,89307.59730771671,30067.33025,25846.4501473244,149505.6504,19296.24572490994,82051.12046349878,17841.184106316116,43296.19447152823,11496.291817469188,35958.46015681846,34629.95358968431,83326.13217295526,32338.8024824053,37451.12691605807,96865.24609979738,37337.53395276173,96099.66146672306,40138.60046388611,27022.10687790633,62031.508687063724,13525.005100269009,21201.93586529519,6377.214496,19307.6238,47395.24811653935,53401.05264725824,38806.31438036068,6122.283888232742,31507.56311868876,38152.931292928304,14545.371749089405,40628.80652881187,41726.62347179711,55987.65362,15638.186542921669,373433.6687,5494.7610775605535,17660.835579368333,41294.3900063649,20739.79665,80000.15005410621,2813.83368,16478.82074,6671.36924462283,10109.561124130574,55809.82114,24075.99286946299,35060.680489802486,25873.803490303075,68672.52079,17071.021986749485,12140.354669067548,98174.93918626667,112407.00708885735,75269.77801,67639.04883241084,39834.61844731341,14098.710313207264,34875.464670916364,30109.045213783036,16950.278572390416,61022.71443,22326.40278748506,54579.976844118995,47553.72199854852,4187.491085,79865.01535110442,19056.38079,153904.6091,88175.3379,190475.1222,43178.49504589012,43157.13791238426,35124.34207457298,13171.343501722013,9335.817787456006,97257.36876190509,17026.20849884319,7034.721876762869,24192.30742866523,4934.3330720195945,7844.337359560526,46680.959936825035,43827.33734489236,101523.57037533518,88002.51878,19648.080174456845,3231.8258072545714,33695.90299959241,23195.31114331444,27207.02379234627,33675.93414514633,27143.87376635551,34321.08865065625,26883.49968,45142.12328,7010.76478282453,44208.862395429765,39446.70943393398,85638.8277274299,33930.36988355774,40602.241256256806,19026.88904,27460.06315753352,31275.091420778812,32105.637906274256,38485.98709225976,35592.90662410431
6,52818.61697,6234.292065,16606.04245,58554.83941,45265.15958,55827.53113375735,27884.49135,122583.18445812722,126211.74303622515,10822.82511135608,14161.478016854478,44147.442856440095,95384.96745396903,86241.10824673848,53762.86441577518,35562.45287851324,233580.682,45711.533299855546,46812.83146869336,44209.30442571173,99344.46976414493,46734.644204839504,70787.98755588385,13066.840341756293,17084.05797255688,20129.89953868513,26363.97434205805,38416.53763765375,12019.72439015491,23169.75916862786,40984.58749037261,51725.35634799882,80936.79016483689,71153.1131406338,11354.106729092797,39106.74307,74469.79236021635,41261.44689999196,32773.08966229569,35534.081138844806,32233.18947738801,12984.287187570335,103249.02454941817,51968.63151521652,89979.94975565719,34184.00791423378,110906.52600390917,34826.06233,35781.980527599866,123913.7582014961,60299.41988169761,15519.259993608783,11933.912229371426,59821.32957,17866.95514501995,11556.047380298367,63071.551538178945,106895.73911823415,42661.47955,33969.98503402635,212793.1582,26511.106970230514,97032.11654373673,24569.51138481495,52844.21605032398,18708.362897498668,47495.692262353514,43598.14897762209,97892.93584999791,41406.5613276306,45673.70850729812,115268.59095099999,43330.35714463903,112181.70395133403,48607.93924479832,33123.09787527791,74214.2054064883,20308.169174182658,28131.959017915062,8960.892166,23442.10078,57497.94715593652,67483.44279052016,48117.37275814285,10846.004584834167,41901.17473629727,48913.996163515105,22351.05123679735,48722.211821418256,50424.80148023669,62929.6284,23858.39934615114,437705.3447,8933.736334037154,26034.39524496702,52346.28716106165,29519.19756,93952.2247925762,4247.554109,20815.32157,11255.866365664819,16268.05163002869,65415.25052,33264.429436332415,42418.09181730991,34406.017893716584,80491.74966,24746.016115366354,19164.071702674835,113647.27830956643,126415.24849914038,107132.3642,80756.49859393852,50802.64473706663,21748.603542978115,43299.18665747129,36929.97040726185,22718.56260511054,86854.35027,29461.894797976423,65347.531237146104,57586.06045510855,6250.743588,98318.96515387377,27184.37306,219054.2481,97953.31986,271105.4913,52936.67941824219,52553.537013770074,40344.58518729616,19519.993457657176,14355.774660888523,111715.20508739413,23981.455124981236,11744.408205341106,33287.53187758605,8651.582265226249,12247.35116838169,58893.075454032456,53969.388286901456,116333.06664176007,149251.5865,26327.161601764503,5638.062975849755,45096.00737349038,32234.058504083183,34419.71441593554,40043.217787246744,36714.28837975489,46162.20774703609,38263.60265,54659.73546,11114.199208212593,53179.12599750884,51408.801575948535,100121.78309752514,45720.68899384767,50545.38381484681,22301.60727,37544.24792243567,39643.56322787715,41103.653658165036,46425.88130496438,45802.40407487083
7,58940.53972,6684.520166,20756.71606,73625.59457,51850.74775,70209.52553891543,32418.28863,138680.67872578042,144170.8466551629,16900.846914227255,22058.11758903477,54740.37443280353,112899.04076489751,102843.8413762234,67058.70510232798,45060.18899551305,270674.419,58665.97816953786,59783.128311058266,58666.7960883807,115917.7399668411,57836.51033091118,84870.49498854847,20228.935921105163,25479.134477252155,28455.728857151586,35473.09782086431,47606.475371360866,18379.372347597673,31508.99695960193,52773.35989965385,63718.14636056953,96094.00901707436,86363.44938908507,17570.42934945782,49507.71411,89576.5840122474,51090.050806698084,40783.71198205297,43407.61119501627,39931.587360689715,19635.453864525804,121055.14473776348,65056.94733856167,106249.36262608791,46045.41124791587,128446.85159165337,45003.18807,47138.30199580242,143430.1370308921,76859.90363310098,22866.109345253826,18348.265688020165,66754.8992,25219.652636054587,18795.20624932245,79083.50643798748,124782.06879924583,54502.2861,44103.30297763613,274977.1256,33973.63142401218,112250.01623485223,33573.31850184138,65467.034855683305,27698.955509563802,61485.56528322811,55200.636153067244,114288.28511916357,52495.61479871272,57678.59860818951,135516.71216238555,52196.44965483542,129122.25509605467,59822.30579133007,39851.090161130494,89368.62921014035,27898.567224214457,36706.280615304786,11737.17574,27461.64894,70125.57941934954,83553.7523858421,60697.412434500475,18244.544344678863,54845.120387508934,62156.00071568844,31104.062036818268,60582.11340334925,62605.27644334801,70280.14964,33023.66264557443,488437.4248,14020.900247778152,35979.95205198249,65822.57619697474,38145.5126,108935.68759525177,5906.866686,24581.01154,18636.45049442228,24423.872524331568,72997.18155,44771.72255299253,52268.40254821276,43501.621669479646,89821.11688,32481.896554373827,27922.18423173845,130526.34810580139,142775.15280480808,138439.3644,96266.25689100772,65364.01582361704,30644.233026660946,54289.63966247436,44789.70822322539,28781.96455722937,112235.5615,38566.14064931506,79351.10667481301,69455.01823648054,8529.892101,116913.84673042891,37181.78384,283067.8769,112061.0967,350329.9138,65779.56750655455,65447.99539159526,48077.89942828394,28374.868425370627,20866.778240296695,126827.51277801328,33234.21635400662,18942.596112768526,41576.39112289492,14339.840489100423,18557.877165628477,73346.6759532386,67349.74429670139,133515.2289297179,255067.1544,35428.94101237914,9487.175182678708,57796.36345683055,40819.1367251586,41706.191878707585,48580.26919601119,45517.965696938285,61044.79038458819,49445.27148,64970.67917,16732.26900549956,65811.0814706459,66189.87942193045,116726.92395038852,59885.74836950758,63594.29297859322,24886.46703,49463.79475594378,52172.04473750341,50731.66248700995,58472.30616064423,58271.16333354115
8,64169.85944,7182.080367,25717.95469,89022.86843,59804.73586,87176.94174383466,36985.59857,155619.60636759445,163928.52000088358,24996.203094617184,30603.610122177182,68343.86979513521,131403.09695748545,121425.66138566982,82991.19290729,61084.08964515694,305353.8621,74799.01106421376,76227.22883134267,75558.01319420441,134155.98261571408,71980.48949617468,99998.54087132159,28700.5982699115,35673.47297995435,37804.43193429689,46737.91509607437,60187.66711271191,26292.730557374725,43370.72422251701,67817.3582727301,77515.23753319774,113410.94749036955,104156.57095253206,25615.275250226936,60005.79284,107536.74269007643,64464.052897631744,51059.95723090924,54776.91438322136,49878.77977898489,27733.016218260393,139209.21924873185,81215.37379805064,125003.97248940359,61543.48429268267,147328.82306241174,52748.68763,62020.213206408094,164447.06082598856,96311.74370718945,31104.93285962886,26100.575226935995,72677.52414,33140.866066224524,28120.13717596467,97671.16398675737,143381.55850707495,66775.95169,57939.851699280254,322303.444,42505.3063901494,128043.00784013295,44250.29236187556,81118.10379014559,37195.10826105567,78779.77125466515,70091.6275681027,132260.36304972356,66710.46661868259,73797.3246961056,156135.1427541682,64758.62494946087,147109.58677070844,74356.26081436586,49668.197546007665,106773.82485351802,36002.38967024169,48986.15692546844,14265.00606,31644.1792,85982.63085271139,101645.48074725702,76640.23526611079,28150.89177409731,71049.36390089443,78398.26103700738,39782.897194196456,75369.6267529443,77807.77868784568,78885.27284,42088.28919985788,531772.5464,20994.742243984867,45821.403717994464,81915.21664256997,44710.73751,126598.24068763189,7493.751238,28365.47961,28818.365543883712,33625.08172238191,79473.63396,62812.31573887465,65822.26069845687,55647.47943259782,97790.22167,40108.15593492876,36529.381949325056,149701.0584143817,160841.35408960673,162266.166,114208.15200395627,82571.91758859943,40152.87288787132,68438.97916897351,56159.555961569255,35470.64996958697,131552.4261,50200.38686437782,95910.48374607503,83874.4487129401,10574.46886,136716.68571699873,48873.00053,331786.6947,130002.4719,410625.202,81319.70496457632,81564.76546220618,59305.4278006282,38243.740636067654,29479.310574292114,142498.48395963357,44397.231328908805,28080.37372152127,52320.187387080456,22579.924735321547,27009.093922696404,90037.27168901828,83941.64294370676,151840.62017470397,396549.3539,45628.68103042382,15462.487653674481,74009.46052988368,51704.02433940645,51443.87929821199,60472.44021973314,56930.50433829337,78837.5135903582,57955.2981,77093.21976,23635.35458525904,81788.79155878627,83084.64418431465,135764.1780939768,76443.59086987497,79613.32652596067,27094.44295,64021.44192722517,70027.70699150435,63820.15702501908,74670.01945052353,73864.2050872039
9,68157.16011,7706.375016,31577.62402,103402.7857,68567.27262,106735.62462286174,41422.17519,174209.51575147742,186092.15093651877,35668.23410949713,38806.817456066216,84625.05696818781,150664.62759360395,142314.19982991132,101657.34766923748,81443.19905060563,335229.2916,93946.84989752031,95990.19091781287,94694.74348546586,154528.9452993905,89018.17337695634,116321.13598539883,37775.81149200899,47022.77132800253,49318.68544002796,61747.06885788372,76350.4945535081,35232.395683810915,57320.93479248714,86058.97835271072,95276.13782399043,132894.0489227413,125409.31254349436,36574.98920189457,69314.47801,128363.5580528203,81134.49036709755,65337.06213694138,70681.72530242968,63782.17962544919,39001.383269839884,159599.6011278908,101180.11607458911,146382.29295594947,81447.17675864727,169028.67028218362,58862.50525,81375.93931893852,188055.5020846756,118873.62211216496,40102.47522941402,35036.84725404691,77193.46268,41591.39003211988,38719.40443172891,118991.60918472489,164275.72087967486,77221.32592,76600.90210238844,359659.9085,55107.33996623023,146345.1333919867,58046.931913882465,99769.60586265997,48276.80365301652,99323.27161684285,87803.11475791459,152612.70015401414,83494.881155611,93945.05577125591,178047.1547590679,81144.14756126504,168271.52752208317,92547.42566863836,63881.74814232002,127529.57584896307,45531.83568210641,69175.63458984252,16689.27594,35684.14571,104523.8279976622,122044.75889017552,95649.8179539149,39687.554340863404,90972.56944076791,97315.71115733653,50809.16206114979,93450.08282416515,96196.30415892927,87674.28742,53971.21091088926,564815.1158,29605.972414219097,57968.00815744586,100983.98335963917,49892.91942,145921.79316235942,9027.857721,32545.44248,40965.206408092134,43559.424518960644,84411.86006,85125.88952879219,83069.63830242689,71981.13806292039,103866.5793,50328.6303880198,46450.16110473731,171648.34130435696,181059.77112405168,181073.5675,135167.4398427616,102027.03246800652,52358.81348426159,85666.73082836326,71198.39032980232,43968.964086515574,146799.9627,66576.28891320758,114407.52529103376,100999.55037711724,12473.62391,158240.39296075466,62426.74686,370242.3119,150698.6543,458218.5679,99509.81344694374,100557.81559564176,73857.04636412431,50146.288360245184,39306.59189365438,159573.29285730163,59410.00120451324,38266.405267419905,67309.16676530786,32841.94217434208,38910.29681309977,108818.61512086028,103871.25927891089,172789.12297749662,557872.884,59410.07835207513,23943.9406242753,93972.33048130388,66667.35902805952,65253.042688699956,75179.59715879845,72129.8148362721,99292.0693077601,64672.58603,90658.6666,31835.79299437335,100777.48963867259,102374.48853065608,157404.85614761052,95310.08072179407,98381.83503453652,28778.00111,81796.4828112377,91698.83238224246,81627.2098279985,94912.71891535066,92636.36144234048
10,72392.21833,8424.974466,37562.30765,117494.744,79204.93009,128588.2557760933,46462.17971,194835.34275217823,211843.6980865033,48348.39804695203,49305.929959889756,103691.06535709555,171376.09833499254,165474.61180725673,123028.98820863315,105031.01061337613,366843.3096,116141.26093829962,118487.03146919666,116619.55836799988,177613.310256994,108188.37282888737,132634.8651315412,49349.216944976455,62902.335670132954,66045.20683987922,81619.406229144,95435.63638434795,46016.030732964005,74099.3873431929,106754.75076861073,116233.24403403269,154761.76418363285,150393.36845869952,50071.27441765181,79062.3014,152945.8629959326,101006.72522620166,83840.27130121409,90533.12833979634,81381.2451099498,54181.689692745866,183147.23566285428,125094.07127135138,171476.48887644737,106152.67810757556,193912.9849433903,62520.02467,104933.96211707364,214917.47993088828,144264.63425140225,52002.09392812518,45621.1135596827,81990.00655,53001.47640807514,51958.29832365473,143445.4440268331,188596.33821762181,88067.71211,99744.89251082865,382007.9736,73106.34778379527,166330.39737495783,76588.86511359285,121605.18084593976,64225.74542083064,122948.71828521116,107533.01961919692,176386.41712044814,102151.03808611502,117967.85903511064,202304.8390873934,101624.89434375377,193343.40934049332,114738.40378298062,82325.09152848391,152886.7970563229,59312.61561323528,94189.97925505723,18781.34121,40268.7442,126670.4549888309,144976.41029647968,117756.97510642993,54263.00048563609,115153.56184687796,118446.88269123393,66811.3809064034,114878.5608583467,117496.23190785835,96014.75068,70588.66645942345,599910.8401,38822.31780124852,72498.29859095192,122841.81593662898,52993.09874,167557.7388818152,10304.3096,37068.10282,56145.30224088445,57555.527259149065,89656.93102,110222.1280940117,103871.3357945341,92209.11941468634,110320.5016,65022.95255293606,61286.785226094726,196439.6021015392,204452.00255643672,192324.874,159243.91271691062,123451.87664695643,69912.48940923212,105356.76792404814,89734.830402774,57294.31153004237,155921.6219,88182.11837410412,136207.5734385949,122591.91303465185,13987.63209,183400.0684262797,77942.22966,393247.9322,175146.8299,486690.7389,121177.50494179294,122633.5256836293,92012.84547722197,67480.34945599656,51747.18347466584,178561.72180152283,80344.01919011906,50912.19449852624,86689.2058692612,44737.917363218745,56226.02547220939,129440.04004573498,127914.46603036473,197042.37349274897,709111.936,77794.1181929678,34406.50244563652,117304.93436753692,86252.54411880547,83730.69513931623,93011.31436581552,91507.59558266647,122166.74335338417,68691.12446,104773.2573,40985.564219115244,122849.68185532665,124180.85537436773,182038.07826006963,116971.53368123349,119461.22906707764,30566.16995,102091.21482996775,116611.56906140418,105040.61224338469,119235.11992986455,114736.02258282875
