NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
Canada5106,0.1,0.2,0.3,3.3,-0.73,152,4,2,1,1,1.333333333,1.333333333,1.333333333,1,1,1,1,1.5,1.5,1.5,86.08,0.178,0,0,2.05491899,26.440615483,0.062950978,18.482328502,2.05491899,0.182505656,25.583582881,0.576981382
Canada5115,0.141,0.289,0.442,3.442,-0.822,217,28,17,8,21,8.666666667,8.666666667,8.666666667,9,9,9,9,6.5,6.5,6.5,123.51,0.246,0,30.0015,0.466310238,8.306234171,0.057502039,26.270017814,0.466310238,0.171225862,36.082301955,0.880220087
Canada5120,0.1,0.2,0.3,3.3,-0.972,9777,2350,1533,1425,1747,1153.666666667,1153.666666667,1153.666666667,1149,1149,1149,1149,928.25,928.25,928.25,2860.457,0.201,0,0,3.181124193,22.381266363,0.062740764,9.860005301,3.181124193,0.192721174,13.280792321,0.57698159
Canada5132,0.128,0.261,0.397,3.397,-0.94,683,140,101,86,97,67.333333333,67.333333333,67.333333333,59.25,59.25,59.25,59.25,49.75,49.75,49.75,467.988,0.21,0,0,5.102200128,34.76918648,0.062104001,9.601356511,5.102200128,0.19294158,12.930335228,0.785512735
Canada5166,0.122,0.248,0.376,3.376,-1.456,105,1,4,3,4,4.333333333,4.333333333,4.333333333,4.75,4.75,4.75,4.75,5,5,5,520.491,0.105,0,0,0.053560277,0.723997077,0.059855389,19.428033887,0.053560277,0.176722438,26.832894939,0.741104031
Canada5167,0.129,0.261,0.397,3.397,-1.278,2331,297,170,165,213,143,143,143,159.5,159.5,159.5,159.5,133.75,133.75,133.75,1857.209,0.149,0,0,0.072404841,1.084825391,0.059746679,21.77152154,0.072404841,0.174505394,30.17985866,0.773704015
Canada5202,0.1,0.2,0.3,3.3,-1.574,2488,1,1,1,1,0,0,0,0,0,0,0,0,0,0,204.602,0.045,0,0,1.316987613,10.943050486,0.064471005,11.607382721,1.316987613,0.193270028,15.667619946,0.576981579
Canada5168,0.124,0.251,0.382,3.382,-1.645,1221,227,162,161,227,173,173,173,172.75,172.75,172.75,172.75,139,139,139,1461.148,0.017,0,0,2.664528824,23.685834858,0.062874218,12.613979594,2.664528824,0.185930916,17.259723818,0.744869387
Canada5169,0.134,0.273,0.417,3.417,-1.658,775,104,60,57,66,47.333333333,47.333333333,47.333333333,46.75,46.75,46.75,46.75,34.75,34.75,34.75,331.102,0.149,0,0,0.181241999,1.459756247,0.060550254,11.260148396,0.181241999,0.17867164,15.63982859,0.821417455
Canada5171,0.201,0.418,0.647,3.647,-1.701,742,117,63,68,84,48.666666667,48.666666667,48.666666667,45.25,45.25,45.25,45.25,37.25,37.25,37.25,161.725,0.191,0,0,0.618225995,4.388494312,0.060785327,9.952146198,0.618225995,0.189739451,13.498731411,1.31495248
Canada5172,0.142,0.29,0.443,3.443,-1.653,350,73,41,47,61,41.666666667,41.666666667,41.666666667,44.25,44.25,44.25,44.25,43,43,43,111.485,0.064,0,0,7.209765404,38.615138597,0.057110723,7.661434361,7.209765404,0.193807489,10.236581352,0.876718092
Canada5173,0.15,0.308,0.472,3.472,-1.678,357,68,43,55,64,62,62,62,58.25,58.25,58.25,58.25,53.75,53.75,53.75,128.271,0.06,0,0,1.453825867,16.687638351,0.061992106,16.398474675,1.453825867,0.178651006,22.728414796,0.942015005
Canada5175,0.164,0.339,0.521,3.521,-1.66,6,1,2,1,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,14.401,0,0,0,1.944469881,23.564275732,0.061082819,17.347115196,1.944469881,0.178674511,23.995755481,1.051415013
Canada5177,0.141,0.289,0.441,3.441,-1.66,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.033,0,0,0,0.202870498,4.327498461,0.058352004,31.620686263,0.202870498,0.164803774,43.914750952,0.879544935
Canada5178,0.163,0.336,0.516,3.516,-1.694,1430,182,127,108,121,86.666666667,86.666666667,86.666666667,101.5,101.5,101.5,101.5,90,90,90,439.253,0.193,0,0,0.063557598,1.441918175,0.055273632,33.943188178,0.063557598,0.162360505,46.850485976,1.036226544
Canada5179,0.172,0.355,0.547,3.547,-1.682,252,98,59,60,68,38.333333333,38.333333333,38.333333333,34.75,34.75,34.75,34.75,15,15,15,100.796,0.19,0,0,0.586818981,11.18859032,0.058406048,28.065617797,0.586818981,0.167991555,38.787722535,1.098748255
Canada5180,0.165,0.339,0.521,3.521,-1.66,344,81,46,45,61,44.333333333,44.333333333,44.333333333,47.5,47.5,47.5,47.5,39.25,39.25,39.25,151.06,0.139,0,0,1.348785622,24.555260535,0.058212324,27.055586738,1.348785622,0.172767167,36.657603839,1.039018331
Canada5181,0.141,0.287,0.439,3.439,-1.66,36,1,1,1,2,0.333333333,0.333333333,0.333333333,1.25,1.25,1.25,1.25,0.5,0.5,0.5,14.2,0,0,0,0.924449963,15.895854364,0.059006673,25.24184142,0.924449963,0.17439676,34.420221309,0.86241253
Canada5203,0.1,0.2,0.3,3.3,-1.58,49,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,7.880040411,127.594632899,0.059355586,23.812894527,7.880040411,0.174027656,32.489447872,0.576981223
Canada5204,0.1,0.2,0.3,3.3,-1.593,860,132,56,46,49,29,29,29,24.75,24.75,24.75,24.75,18.75,18.75,18.75,148.427,0.196,0,0,7.113155234,35.370046808,0.059025641,7.06112815,7.113155234,0.19517814,9.426340256,0.576981578
Canada5218,0.1,0.2,0.3,3.3,-1.59,1548,324,87,82,107,59.666666667,59.666666667,59.666666667,40.25,40.25,40.25,40.25,16,16,16,325.253,0.177,0,0,0.9600939,17.339707838,0.057971648,26.874955638,0.9600939,0.169813633,36.706074505,0.576981603
Canada5221,0.1,0.2,0.3,3.3,-1.61,179,5,4,1,2,1,1,1,1.25,1.25,1.25,1.25,1,1,1,62.287,0.176,0,0,0.912342328,19.118843181,0.05569621,31.885758335,0.912342328,0.166694328,43.366889267,0.576981382
Canada5265,0.1,0.2,0.3,3.3,-1.72,1375,798,427,345,375,203,203,203,208.75,208.75,208.75,208.75,210.5,210.5,210.5,445.153,0.175,0,0,0.538508581,9.391902532,0.059775486,25.459317677,0.538508581,0.170135632,35.273507801,0.576981215
Canada5266,0.1,0.2,0.3,3.3,-1.667,2215,608,363,327,399,305.666666667,305.666666667,305.666666667,250.25,250.25,250.25,250.25,196.25,196.25,196.25,556.184,0.201,0,0,2.098981137,42.933911611,0.057911699,30.71621075,2.098981137,0.166870179,42.313350637,0.576981578
Canada5267,0.1,0.2,0.3,3.3,-1.75,419,113,65,50,55,32.333333333,32.333333333,32.333333333,19.25,19.25,19.25,19.25,8.5,8.5,8.5,98.768,0.19,0,0,0.770365839,17.307114915,0.056483832,34.13060277,0.770365839,0.164534659,46.838905707,0.576981579
Canada5268,0.1,0.2,0.3,3.3,-1.708,319,181,81,53,87,65.666666667,65.666666667,65.666666667,67.75,67.75,67.75,67.75,59.25,59.25,59.25,174.994,0.194,0,0,1.894790029,41.155821929,0.057671885,32.690530469,1.894790029,0.16351955,45.182115364,0.576981578
Canada5269,0.1,0.2,0.3,3.3,-1.669,3934,1024,584,310,302,163,163,163,140.75,140.75,140.75,140.75,89.75,89.75,89.75,585.569,0,0,0,0.192601511,4.326782669,0.055983319,34.086607526,0.192601511,0.162968871,46.511696488,0.576981223
Canada5270,0.1,0.2,0.3,3.3,-1.747,693,153,96,90,97,66,66,66,57,57,57,57,47.5,47.5,47.5,180.075,0.198,0,0,1.647349665,36.062382869,0.057742753,32.976751407,1.647349665,0.163413338,45.59679563,0.576981603
Canada5170,0.15,0.309,0.473,3.473,-1.714,446,106,81,79,94,65,65,65,80.75,80.75,80.75,80.75,63.25,63.25,63.25,583.112,0,0,0,1.20376451,27.042416965,0.056509285,34.124875547,1.20376451,0.164558756,46.83378421,0.950700066
Canada5353,0.1,0.2,0.3,3.3,-1.984,1745,244,165,121,161,86,86,86,78.25,78.25,78.25,78.25,52.5,52.5,52.5,397.93,0.201,0,0,1.406214844,29.22049877,0.05762062,31.296194644,1.406214844,0.165782494,43.201194305,0.576981578
Canada5174,0.141,0.287,0.439,3.439,-1.734,1245,128,102,87,115,74,74,74,85,85,85,85,64.5,64.5,64.5,628.972,0.037,0,0,0.71127387,10.491259722,0.061166144,21.096459458,0.71127387,0.177540032,29.235307944,0.862411925
Canada5176,0.172,0.354,0.545,3.545,-1.675,239,109,83,79,95,73,73,73,65.75,65.75,65.75,65.75,54.25,54.25,54.25,144.919,0.106,0,0,0.666319163,11.559608448,0.061635965,25.027701362,0.666319163,0.171711891,34.820647654,1.08932925
Canada5527,0.196,0.408,0.632,3.632,-2.254,2754,1e3,687,631,728,464,464,464,396,396,396,396,230.25,230.25,230.25,553.749,0,0,0,0.359592812,3.63325094,0.063348375,14.218606642,0.359592812,0.1875112,19.467269162,1.286269125
Canada5691,0.194,0.404,0.626,3.626,-1.974,2657,658,373,309,320,178.333333333,178.333333333,178.333333333,92.25,92.25,92.25,92.25,71.75,71.75,71.75,329.167,0,0,0,0.070476341,1.443135538,0.0577673,30.110070882,0.070476341,0.168147673,41.297287657,1.274798254
Canada7437,0.149,0.304,0.465,3.465,-1.15,79,6,5,2,8,4.333333333,4.333333333,4.333333333,5.25,5.25,5.25,5.25,4.25,4.25,4.25,164.691,0,0,0,0.073449242,1.443554415,0.058254178,28.725632875,0.073449242,0.167003079,39.976586797,0.917706803
Denmark7037,0.129,0.263,0.4,3.4,-1.961,19,26,22,49,27,52.333333333,52.333333333,52.333333333,48,48,48,48,41.75,41.75,41.75,606.342,0,0.033,0,0.134648386,2.527079073,0.056115594,27.737227249,0.134648386,0.16878697,37.912176284,0.79127498
Denmark7038,0.134,0.273,0.416,3.416,-1.82,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.241,0,0,0,0.533306048,8.31644482,0.061956639,22.24351646,0.533306048,0.176069121,30.928951628,0.820756127
Denmark7039,0.119,0.24,0.363,3.363,-1.808,22,1,1,1,1,0,0,0,2,2,2,2,0,0,0,84.932,0.401,0.033,0,1.056403764,22.721668319,0.058274107,32.243642804,1.056403764,0.16607301,44.597147967,0.705706094
Denmark7040,0.114,0.23,0.348,3.348,-1.87,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.053,0,0,0,1.453076084,31.018377751,0.05856576,31.919835276,1.453076084,0.167072639,44.043392914,0.676864392
Denmark7041,0.114,0.229,0.346,3.346,-1.959,5,10,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.25,0.25,0.25,254.398,0,0.033,0,1.067135455,21.648049239,0.058513058,30.324184067,1.067135455,0.167695902,41.662768797,0.667921815
Denmark7042,0.11,0.22,0.332,3.332,-2.08,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.054,0,0,0,0.763486365,14.439706688,0.060712979,27.699672449,0.763486365,0.172063699,37.983945686,0.635979235
Denmark7348,0.126,0.255,0.388,3.388,-1.865,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16.948,0.425,0.033,0,0.455636569,7.947020877,0.059919314,25.422019013,0.455636569,0.170060345,35.274850801,0.756402782
Denmark7349,0.123,0.249,0.377,3.377,-1.82,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16.971,0,0,0,0.309291267,4.701688732,0.058954019,21.94502151,0.309291267,0.176393893,30.116674734,0.737786751
Denmark7350,0.128,0.26,0.395,3.395,-1.868,218,1,1,1,1,0,0,0,0,0,0,0,0,0,0,51.27,0.423,0.033,0,1.070918566,20.573928552,0.05998184,28.327106285,1.070918566,0.171602206,38.760854075,0.776362467
Denmark7043,0.11,0.222,0.335,3.335,-2.08,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,38.78,0,0.033,0,0.757535285,14.438864481,0.060746012,27.915235856,0.757535285,0.171954684,38.291518572,0.65312842
Denmark7044,0.11,0.221,0.333,3.333,-2.08,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.147,0,0,0,0.764674503,15.514063188,0.059073079,30.185645225,0.764674503,0.169327256,41.342704438,0.644189946
Denmark7045,0.113,0.229,0.346,3.346,-2.343,103,35,18,19,40,19.333333333,19.333333333,19.333333333,11.25,11.25,11.25,11.25,10.25,10.25,10.25,547.438,0.551,0.033,0,0.397783518,7.938412986,0.057884466,29.7507416,0.397783518,0.170449995,40.388763659,0.679448895
Denmark7046,0.123,0.248,0.376,3.376,-2.32,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,47.203,0,0,0,0.071727698,1.443248141,0.057361277,29.607035728,0.071727698,0.166862537,40.978273212,0.729434207
Denmark7047,0.1,0.2,0.3,3.3,-2.014,228,79,39,32,31,25.666666667,25.666666667,25.666666667,22.5,22.5,22.5,22.5,31.5,31.5,31.5,809.097,0.491,0.033,0,0.301978434,5.417373923,0.058462781,26.35484386,0.301978434,0.169564148,36.341616953,0.576981175
Denmark7053,0.1,0.2,0.3,3.3,-1.539,105,55,49,42,41,30.333333333,30.333333333,30.333333333,20.5,20.5,20.5,20.5,17.75,17.75,17.75,1180.449,0.488,0.033,0,0.037583853,0.721929449,0.058606803,27.799784654,0.037583853,0.167354614,38.673019768,0.576981175
Denmark7054,0.1,0.2,0.3,3.3,-1.2,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,3.687,0,0,0,0.876226019,17.322523065,0.057517762,29.747194474,0.876226019,0.167405921,40.693683437,0.57698119
Denmark7055,0.121,0.246,0.373,3.373,-1.039,63,63,26,27,22,34.666666667,34.666666667,34.666666667,31.25,31.25,31.25,31.25,22.5,22.5,22.5,877.203,0.502,0.033,0,1.228582444,22.388671186,0.059927962,26.830759504,1.228582444,0.173493382,36.542979353,0.735339711
Denmark7056,0.118,0.238,0.36,3.36,-0.93,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,18.553,0,0,0,4.457457685,79.833656669,0.05737406,26.9142903,4.457457685,0.167813632,37.024990127,0.69993774
Denmark7057,0.117,0.236,0.358,3.358,-0.93,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,41.047,0,0.033,0,1.374410908,21.338337008,0.05922024,23.008852757,1.374410908,0.173852309,31.240888769,0.694822853
Denmark7106,0.122,0.247,0.375,3.375,-0.932,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,191.806,0,0.033,0,0.359623132,7.216287999,0.060255329,30.543830766,0.359623132,0.172206126,42.25007475,0.732681973
Denmark7107,0.1,0.2,0.3,3.3,-0.96,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.515,0,0,0,0.051723717,1.081647543,0.056865353,31.068802232,0.051723717,0.16414879,43.407081682,0.576981603
Denmark7108,0.1,0.2,0.3,3.3,-0.93,2646,367,116,111,152,72.333333333,72.333333333,72.333333333,62,62,62,62,50.5,50.5,50.5,360.968,0.429,0.033,0,4.471194485,88.445678842,0.054982939,30.21179333,4.471194485,0.162834071,41.442534554,0.576981603
Denmark7961,0.1,0.2,0.3,3.3,-1.023,8,1,1,1,7,3,3,3,0,0,0,0,0,0,0,114.621,0,0.033,0,0.961788986,8.735866961,0.058899899,13.125694307,0.961788986,0.181465137,17.906068277,0.57698119
Denmark7964,0.1,0.2,0.3,3.3,-1.068,103,75,68,31,33,28.333333333,28.333333333,28.333333333,20.25,20.25,20.25,20.25,26,26,26,503.853,0.428,0.033,0,3.111634371,55.272435084,0.057065666,26.767163518,3.111634371,0.16679624,36.703334891,0.57698119
Denmark7058,0.12,0.242,0.367,3.367,-0.925,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.806,0,0,0,2.581404696,45.520996667,0.057078447,26.56915236,2.581404696,0.16964895,36.154584183,0.712128722
Denmark7105,0.133,0.27,0.411,3.411,-0.91,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.359,0,0,0,0.063138266,1.084066794,0.055597146,25.365246743,0.063138266,0.168517803,34.586036467,0.805849202
Denmark7117,0.118,0.239,0.361,3.361,-0.779,539,171,184,149,118,110,110,110,114,114,114,114,98.25,98.25,98.25,386.088,0.499,0.033,0,0.348405305,5.78330326,0.057138922,24.675159673,0.348405305,0.175211535,33.007078217,0.708282218
Denmark7118,0.186,0.383,0.591,3.591,-0.67,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.271,0,0,0,13.4610951,277.528357561,0.055143878,31.482560463,13.4610951,0.164420323,42.749662253,1.180579735
Denmark7125,0.114,0.23,0.347,3.347,-0.675,1,3,3,2,3,3.333333333,3.333333333,3.333333333,11.25,11.25,11.25,11.25,7.75,7.75,7.75,469.386,0.466,0.033,0,1.985522356,35.044100661,0.05782066,26.422613403,1.985522356,0.167634351,36.320069536,0.676201684
Denmark7126,0.1,0.2,0.3,3.3,-0.69,1,1,1,1,1,0,0,0,0,0,0,0,1.25,1.25,1.25,4.633,0,0,0,0.315575473,5.780097992,0.05900477,26.971492677,0.315575473,0.17117379,37.21410022,0.576981579
Denmark7127,0.1,0.2,0.3,3.3,-0.682,1,1,1,1,1,0,0,0,0,0,0,0,20.5,20.5,20.5,115.848,0,0.033,0,1.022633707,19.139246115,0.057707912,28.083669233,1.022633707,0.167776415,38.637451091,0.576981171
Denmark7135,0.1,0.2,0.3,3.3,-0.472,980,73,135,72,98,73.666666667,73.666666667,73.666666667,46.75,46.75,46.75,46.75,38.75,38.75,38.75,2707.703,0.454,0.033,0,0.970990426,19.850361542,0.0569662,30.831557427,0.970990426,0.163441485,42.649008415,0.576981171
Denmark8017,0.1,0.2,0.3,3.3,-0.878,17,6,9,7,2,5.666666667,5.666666667,5.666666667,2.5,2.5,2.5,2.5,4.5,4.5,4.5,169.132,0.437,0.033,0,2.305310974,39.031063876,0.059394824,25.102511704,2.305310974,0.172001364,34.571569287,0.576981579
Denmark8018,0.1,0.2,0.3,3.3,-0.87,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.547,0,0,0,2.577046882,39.785738503,0.059346714,22.854900378,2.577046882,0.172313762,31.338436421,0.576981579
Denmark8019,0.1,0.2,0.3,3.3,-0.87,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,21.137,0,0.033,0,0.032444958,0.720770953,0.0566025,33.091894022,0.032444958,0.160945603,46.057182417,0.576981579
Denmark8022,0.1,0.2,0.3,3.3,-0.865,34,13,12,11,25,12.333333333,12.333333333,12.333333333,11.5,11.5,11.5,11.5,6,6,6,222.729,0.436,0.033,0,0.050380114,1.081432204,0.056059423,32.325456535,0.050380114,0.165433172,44.199468326,0.576981579
Denmark8080,0.1,0.2,0.3,3.3,0,1,4,4,4,5,2.666666667,2.666666667,2.666666667,2.75,2.75,2.75,2.75,2.25,2.25,2.25,189.702,0.429,0.033,0,0.036181432,0.721662273,0.063006216,29.338902852,0.036181432,0.175117264,40.642009174,0.576981579
Denmark8101,0.1,0.2,0.3,3.3,-0.767,445,45,64,40,59,46.333333333,46.333333333,46.333333333,38,38,38,38,30.75,30.75,30.75,837.659,0.432,0.033,0,0.11832596,2.167040277,0.058860749,26.916342213,0.11832596,0.173167851,36.493136256,0.576981579
Denmark7119,0.137,0.28,0.427,3.427,-0.67,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,46.847,0,0.033,0,0.341094047,7.568169347,0.056105319,33.779614184,0.341094047,0.156328496,47.211114071,0.847247056
Denmark7120,0.122,0.247,0.375,3.375,-0.67,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.394,0,0,0,0.124368831,2.882221028,0.052477965,36.12724275,0.124368831,0.158141791,49.425508887,0.732682003
Denmark7121,0.12,0.243,0.368,3.368,-0.66,1,1,2,1,2,4,4,4,4.75,4.75,4.75,4.75,1.25,1.25,1.25,539.639,0.465,0.033,0,0.638791149,15.129362012,0.057436349,35.885450026,0.638791149,0.159271109,50.421948544,0.720486951
Denmark7128,0.1,0.2,0.3,3.3,-0.66,1,1,1,1,1,0,0,0,0,0,0,0,2.5,2.5,2.5,9.269,0,0,0,0.305758112,6.846924575,0.05505145,34.308897338,0.305758112,0.156184802,47.669766485,0.576981173
Denmark7129,0.1,0.2,0.3,3.3,-0.638,1,5,11,16,11,11.333333333,11.333333333,11.333333333,27.75,27.75,27.75,27.75,30.25,30.25,30.25,311.386,0.448,0.033,0,1.124261111,25.226878674,0.054801044,34.4102304,1.124261111,0.161310002,47.401326795,0.57698119
Denmark7130,0.121,0.246,0.372,3.372,-0.61,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.623,0,0,0,2.004165834,30.387514428,0.060119675,22.269903124,2.004165834,0.17792466,30.098642485,0.734660009
Denmark7131,0.123,0.249,0.377,3.377,-0.517,128,25,43,44,46,30.666666667,30.666666667,30.666666667,39.75,39.75,39.75,39.75,35.25,35.25,35.25,363.762,0.525,0.033,0,0.940870765,16.976860443,0.058402564,26.900893712,0.940870765,0.169240942,37.045624681,0.737786746
Denmark7132,0.12,0.243,0.369,3.369,-0.46,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.419,0,0,0,4.610491737,72.311000323,0.058178291,23.169274265,4.610491737,0.174675917,31.41508388,0.721149083
Denmark7133,0.125,0.254,0.385,3.385,-0.46,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,36.07,0,0.033,0,6.894881921,127.451596972,0.057020498,27.775420584,6.894881921,0.167848041,37.938288041,0.758397431
Denmark7134,0.109,0.219,0.33,3.33,-0.46,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.368,0,0,0,0.05335008,0.724383142,0.056789953,19.562627586,0.05335008,0.175603669,26.681149768,0.638421012
Denmark8124,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,103.17,0,0.033,0,0.060122358,0.725229044,0.057992555,17.119639676,0.060122358,0.175612656,23.641715489,0.576981603
Denmark8136,0.1,0.2,0.3,3.3,0,50,7,7,6,8,5.666666667,5.666666667,5.666666667,2.75,2.75,2.75,2.75,4.25,4.25,4.25,96.306,0.452,0.033,0,0.056633254,0.724886884,0.057266471,18.332472474,0.056633254,0.176097019,25.061492747,0.576981603
Denmark8137,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.814,0,0,0,0.048603029,0.723788425,0.058310867,21.435063159,0.048603029,0.176482299,29.17758325,0.576981603
Denmark8138,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.545,0,0,0,0.066208293,0.72613963,0.055266159,15.665976379,0.066208293,0.177851211,21.363929965,0.576981579
Denmark8139,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0.75,0.75,0.75,0.75,0,0,0,134.468,0,0.033,0,21.84017407,281.229408083,0.062105645,18.564341201,21.84017407,0.180100763,25.451095732,0.57698119
Denmark8160,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0.666666667,0.666666667,0.666666667,1.5,1.5,1.5,1.5,8.25,8.25,8.25,365.718,0,0.033,0,10.860186611,126.914332469,0.062953285,16.67910988,10.860186611,0.184961069,23.096380151,0.57698119
Denmark8168,0.1,0.2,0.3,3.3,0,15,15,8,10,9,8.666666667,8.666666667,8.666666667,8.25,8.25,8.25,8.25,6.25,6.25,6.25,286.553,0.458,0.033,0,1.100245697,15.922105857,0.061734197,20.756404588,1.100245697,0.176513784,28.757611601,0.576981603
Denmark8188,0.1,0.2,0.3,3.3,0,4,16,3,4,8,7,7,7,6.75,6.75,6.75,6.75,12.75,12.75,12.75,460.281,0.435,0.033,0,3.304561346,34.856766073,0.063252019,15.026213294,3.304561346,0.180528884,21.005351187,0.576981579
Denmark7136,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13.822,0,0,0,4.63873406,59.05679237,0.059814237,18.52880689,4.63873406,0.17392608,25.5962658,0.576981603
Denmark7137,0.124,0.251,0.381,3.381,-0.43,1,1,1,1,1,0,0,0,1.5,1.5,1.5,1.5,0,0,0,85.712,0,0.033,0,1.357089801,23.480670237,0.057364185,25.790315655,1.357089801,0.172955085,34.877894749,0.744215608
Denmark7139,0.1,0.2,0.3,3.3,-0.43,7,5,1,1,1,22.666666667,22.666666667,22.666666667,2.75,2.75,2.75,2.75,0.25,0.25,0.25,1157.794,0.419,0.033,0,0.617265433,10.477029377,0.060441035,24.617921204,0.617265433,0.173640749,34.031099974,0.576981579
Denmark7140,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.376,0,0,0,0.046766764,0.722995095,0.059060104,22.454671902,0.046766764,0.173919027,30.807431203,0.576981579
Denmark7141,0.1,0.2,0.3,3.3,0,51,2,18,2,4,1.666666667,1.666666667,1.666666667,1.25,1.25,1.25,1.25,3.75,3.75,3.75,1727.842,0.451,0.033,0,1.832397455,27.481835987,0.063138444,21.609269678,1.832397455,0.179347435,30.150054938,0.576981579
Denmark7143,0.112,0.226,0.341,3.341,-0.56,26,22,40,10,14,10,10,10,7.75,7.75,7.75,7.75,10.75,10.75,10.75,1416.588,0.504,0.032,0,29.776113693,387.573965199,0.061490464,18.590382529,29.776113693,0.178235939,25.926152315,0.664664849
Denmark7148,0.111,0.224,0.339,3.339,-0.551,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1242.435,0,0.033,0,14.718399138,180.890531607,0.061226685,17.659194399,14.718399138,0.179818836,24.337154124,0.659560263
Denmark8176,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,163.251,0,0.033,0,1.244018786,13.804964373,0.063182577,15.771913382,1.244018786,0.183501107,21.753389055,0.576981579
Denmark8189,0.1,0.2,0.3,3.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,145.909,0,0.033,0,153.237545415,1105.461014485,0.059536306,10.287804219,153.237545415,0.190138128,13.765688195,0.576981579
Denmark7150,0.12,0.242,0.367,3.367,-0.277,2,1,4,3,1,3,3,3,2.75,2.75,2.75,2.75,1.75,1.75,1.75,2560.77,0.472,0.033,0,20.420852071,173.500978301,0.060639288,12.108048229,20.420852071,0.18834754,16.279386894,0.712128207
Denmark7151,0.121,0.246,0.373,3.373,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,14.879635768,110.964606001,0.064865663,10.461266479,14.879635768,0.195883403,14.399111461,0.735339093
Denmark7152,0.125,0.254,0.385,3.385,-0.44,8,1,1,1,1,0,0,0,0,0,0,0,2.75,2.75,2.75,18.726,0,0,0,0.872619775,9.083103894,0.063494496,14.525248187,0.872619775,0.184311021,20.15160767,0.758397963
Denmark7153,0.114,0.23,0.348,3.348,-0.44,7,1,1,1,1,0,0,0,0,0,0,0,3.75,3.75,3.75,23.366,0,0,0,0.215911775,2.180757194,0.059420078,14.275205981,0.215911775,0.185062558,19.465364579,0.676864387
Denmark7154,0.113,0.229,0.345,3.345,-0.438,1,1,1,1,1,1.666666667,1.666666667,1.666666667,0.25,0.25,0.25,0.25,0,0,0,15.404,0,0,0,0.142691346,1.453643927,0.059907047,14.350920402,0.142691346,0.179084066,19.848373186,0.678766963
Denmark7155,0.117,0.237,0.36,3.36,-0.43,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.283,0,0,0,9.930655758,87.72686944,0.064976975,12.405006112,9.930655758,0.192035949,17.190667569,0.703848751
Denmark7156,0.11,0.222,0.335,3.335,-0.42,1,1,1,1,1,4,4,4,0,0,0,0,0.75,0.75,0.75,320.506,0,0.033,0,4.963580228,50.156751231,0.063282009,14.187609308,4.963580228,0.184811038,19.633694433,0.653128448
