NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
UnitedStates4478,0.465,0.977,1.549,4.549,0.41,1,3,6,23,44,9.333333333,9.333333333,9.333333333,0,0,0,0,0,0,0,4.376,2.343,789.884,0.009,0.434114308,4.72038631,0.062157951,15.233559372,0.434114308,0.183564311,21.034274753,3.160320429
UnitedStates4479,0.405,0.847,1.34,4.34,0.41,4,13,18,38,24,0,0,0,0,0,0,0,0,0,0,7.43,2.091,1315.82,0.053,0.346537128,4.708405338,0.060716117,19.507273099,0.346537128,0.177853382,26.692521884,2.713083201
UnitedStates4480,0.306,0.638,1.005,4.005,0.41,1,45,10,2,1,0,0,0,0,0,0,0,0,0,0,7.961,1.634,463.619,2.167,1.027863906,9.817154789,0.065292591,13.374474682,1.027863906,0.189701573,18.590467872,2.028621223
UnitedStates4481,0.281,0.585,0.918,3.918,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0.42,1.483,195.3,0,0.061073451,0.725351611,0.057371166,16.951057577,0.061073451,0.179905065,23.091899523,1.852418572
UnitedStates4482,0.262,0.544,0.853,3.853,0.41,9,26,1,1,1,0,0,0,0,0,0,0,0,0,0,3.397,1.438,257.179,10.73,4.686926122,57.638063794,0.061764041,17.590486392,4.686926122,0.180339178,24.285370273,1.713212868
UnitedStates4483,0.173,0.356,0.55,3.55,0.41,19,16,1,1,1,0,0,0,0,0,0,0,0,0,0,5.537,1.155,210.77,17.195,0.332518585,4.345593059,0.061311484,18.733692944,0.332518585,0.182469725,25.811494417,1.096394097
UnitedStates4484,0.211,0.435,0.678,3.678,0.41,27,19,16,13,36,10,10,10,0,0,0,0,0,0,0,5.578,1.356,277.055,0.813,1.042257627,12.687849767,0.060385589,17.474730015,1.042257627,0.18008928,23.860044596,1.348365953
UnitedStates4485,0.22,0.457,0.713,3.713,0.41,44,24,18,33,128,116.666666667,116.666666667,116.666666667,0,0,0,0,0,0,0,11.535,1.418,135.617,9.861,1.779175352,22.107224902,0.061373466,17.809898543,1.779175352,0.17781239,24.634940103,1.438212449
UnitedStates4486,0.319,0.665,1.048,4.048,0.41,38,22,35,116,259,28,28,28,0,0,0,0,0,0,0,14.018,1.868,424.956,7.336,3.1340997,28.87279353,0.063225814,12.939068061,3.1340997,0.189173028,17.491701287,2.114111479
UnitedStates4487,0.363,0.76,1.2,4.2,0.397,16,10,9,78,24,0,0,0,0,0,0,0,0,0,0,4.673,2.077,969.801,0,4.793910762,77.685979499,0.058579489,23.987231602,4.793910762,0.174664757,32.983824942,2.438212803
