rcp,level,seg,costtype,time,value
rcp85_p50,retreat100,1000segs,relocation,5,0.096727852
rcp85_p50,retreat100,1000segs,storms,5,0.020771556
rcp85_p50,retreat100,1000segs,stormCapital,5,0.011431453
rcp85_p50,retreat100,1000segs,stormPopulation,5,0.009340104
rcp85_p50,retreat100,1000segs,total,5,8.539108173
rcp85_p50,retreat100,1000segs,wetland,6,1.425649986
rcp85_p50,retreat100,1000segs,inundation,6,7.628451507
rcp85_p50,retreat100,1000segs,relocation,6,0.096727852
rcp85_p50,retreat100,1000segs,storms,6,0.023054543
rcp85_p50,retreat100,1000segs,stormCapital,6,0.012631639
rcp85_p50,retreat100,1000segs,stormPopulation,6,0.010422903
rcp85_p50,retreat100,1000segs,total,6,9.173883888
rcp85_p50,retreat100,1000segs,wetland,7,2.161207199
rcp85_p50,retreat100,1000segs,inundation,7,7.628451507
rcp85_p50,retreat100,1000segs,relocation,7,0.096727852
rcp85_p50,retreat100,1000segs,storms,7,0.031007836
rcp85_p50,retreat100,1000segs,stormCapital,7,0.016942223
rcp85_p50,retreat100,1000segs,stormPopulation,7,0.014065613
rcp85_p50,retreat100,1000segs,total,7,9.917394395
rcp85_p50,retreat100,1000segs,wetland,8,2.571905606
rcp85_p50,retreat100,1000segs,inundation,8,7.628451507
rcp85_p50,retreat100,1000segs,relocation,8,0.096727852
rcp85_p50,retreat100,1000segs,storms,8,0.057015362
rcp85_p50,retreat100,1000segs,stormCapital,8,0.031039349
rcp85_p50,retreat100,1000segs,stormPopulation,8,0.025976013
rcp85_p50,retreat100,1000segs,total,8,10.35410033
rcp85_p50,retreat100,1000segs,wetland,9,2.340081401
rcp85_p50,retreat100,1000segs,inundation,9,7.628451507
rcp85_p50,retreat100,1000segs,relocation,9,0.096727852
rcp85_p50,retreat100,1000segs,storms,9,0.148000095
rcp85_p50,retreat100,1000segs,stormCapital,9,0.080252127
rcp85_p50,retreat100,1000segs,stormPopulation,9,0.067747968
rcp85_p50,retreat100,1000segs,total,9,10.21326086
rcp85_p50,retreat100,1000segs,wetland,10,2.575234065
rcp85_p50,retreat100,1000segs,inundation,10,13.79213546
rcp85_p50,retreat100,1000segs,relocation,10,0.107222465
rcp85_p50,retreat100,1000segs,storms,10,0.020475629
rcp85_p50,retreat100,1000segs,stormCapital,10,0.011219887
rcp85_p50,retreat100,1000segs,stormPopulation,10,0.009255742
rcp85_p50,retreat100,1000segs,total,10,16.49506761
rcp85_p50,protect100,1000segs,wetland,1,49.54269482
rcp85_p50,protect100,1000segs,protection,1,51.35212174
rcp85_p50,protect100,1000segs,storms,1,0.180747773
rcp85_p50,protect100,1000segs,stormCapital,1,0.098291993
rcp85_p50,protect100,1000segs,stormPopulation,1,0.082455779
rcp85_p50,protect100,1000segs,total,1,101.0755643
rcp85_p50,protect100,1000segs,wetland,2,55.90927174
rcp85_p50,protect100,1000segs,protection,2,51.35212174
rcp85_p50,protect100,1000segs,storms,2,0.174502806
rcp85_p50,protect100,1000segs,stormCapital,2,0.092772186
rcp85_p50,protect100,1000segs,stormPopulation,2,0.08173062
rcp85_p50,protect100,1000segs,total,2,107.4358963
rcp85_p50,protect100,1000segs,wetland,3,62.54775048
rcp85_p50,protect100,1000segs,protection,3,51.35212174
rcp85_p50,protect100,1000segs,storms,3,0.247595745
rcp85_p50,protect100,1000segs,stormCapital,3,0.128711029
rcp85_p50,protect100,1000segs,stormPopulation,3,0.118884716
rcp85_p50,protect100,1000segs,total,3,114.147468
rcp85_p50,protect100,1000segs,wetland,4,69.33011716
rcp85_p50,protect100,1000segs,protection,4,51.35212174
rcp85_p50,protect100,1000segs,storms,4,0.473517664
rcp85_p50,protect100,1000segs,stormCapital,4,0.241845197
rcp85_p50,protect100,1000segs,stormPopulation,4,0.231672468
