segments,s1,s10,s100,s1000,smax
Canada5106,0,0.23856209773643344,0.4050741311603522,0.5685620214424881,3.2205620786629474
Canada5115,0,0.26272727959182757,0.4292393130157463,0.5927272032978823,3.488727260518341
Canada5120,0,0.2813102192961412,0.44782225272005993,0.6113101430021959,3.170310200222655
Canada5132,0,0.21383838942556666,0.3803504228494854,0.5438383131316213,3.5108383703520802
Canada5166,0,0.14924979779903103,0.31576183122294976,0.4792497215050857,3.760249778725545
Canada5167,0,0.16539062932133675,0.3319026627452555,0.49539055302739143,3.7233906102478507
Canada5202,0,0.05128205128205124,0.22283993033056007,0.3912820250560075,3.8762820512820513
Canada5168,0,0.04037966537966539,0.21193754442817422,0.3803796391536217,4.475379665379665
Canada5169,0,0.057160804020100486,0.22871868306860932,0.3971607777940568,4.145160804020101
Canada5171,0,0.06422864167178854,0.23578652072029738,0.40422861544574484,4.670228641671788
Canada5172,0,0.046593830334190234,0.21815170938269907,0.38659380410814653,4.50559383033419
Canada5173,0,0.046723300970873766,0.2182811800193826,0.38672327474483004,4.608723300970874
Canada5175,0,0.05422264875239924,0.22578052780090807,0.39422262252635554,4.5492226487524
Canada5177,0,0.04969050894085281,0.22124838798936164,0.3896904827148091,4.405690508940853
Canada5178,0,0.06446661550268612,0.23602449455119495,0.4044665892766424,4.297466615502686
Canada5179,0,0.06454545454545454,0.23610333359396338,0.40454542831941087,4.381545454545455
Canada5180,0,0.05687919463087246,0.2284370736793813,0.39687916840482873,4.478879194630872
Canada5181,0,0.049653979238754364,0.2212118582872632,0.38965395301271066,4.396653979238755
Canada5203,0,0.0297973778307509,0.20135525687925973,0.36979735160470717,4.557797377830751
Canada5204,0,0.09025270758122744,0.2618105866297363,0.43025268135518374,3.4942527075812273
Canada5218,0,0.07215007215007213,0.24370795119858096,0.41215004592402843,3.6151500721500724
Canada5221,0,0.08143322475570033,0.2529911038042092,0.42143319852965666,3.5454332247557003
Canada5265,0,0.07518796992481203,0.24674584897332086,0.4151879436987683,3.5901879699248123
Canada5266,0,0.08944543828264762,0.26100331733115645,0.4294454120566039,3.4984454382826473
Canada5267,0,0.08333333333333331,0.25489121238184215,0.4233333071072896,3.5333333333333337
Canada5268,0,0.08992805755395686,0.26148593660246566,0.42992803132791313,3.495928057553957
Canada5269,0,0.0297973778307509,0.20135525687925973,0.36979735160470717,4.557797377830751
Canada5270,0,0.0874125874125874,0.2589704664610962,0.4274125611865437,3.5094125874125877
Canada5170,0,0.04061514195583593,0.21217302100434476,0.38061511572979223,4.856615141955836
Canada5353,0,0.12880143624512158,0.2751302074724116,0.4188013980981489,3.4278014219400066
Canada5174,0,0.04348484848484849,0.21504272753335732,0.38348482225880476,4.5954848484848485
Canada5176,0,0.0533775633293124,0.22493544237782123,0.3933775371032687,4.6523775633293125
Canada5527,0,0.06124223426262043,0.23280012834884578,0.4012422378388991,4.927242242607271
Canada5691,0,0.03547134890794312,0.19693759685813766,0.35547134175538575,5.231471351292129
Canada7437,0,0.18194744301914323,0.5553380342602381,0.9219472141373073,5.985947385798684
Denmark7037,0,0.06238140417457305,0.22889346767392482,0.3923813874852725,4.807381404174573
Denmark7038,0,0.11727923317001099,0.26865388009732416,0.4172793046955847,4.4552792570118696
Denmark7039,0,0.10490529105291602,0.2562799379802292,0.40490536257848975,4.386905314894774
Denmark7040,0,0.08170316515177711,0.22298612082990998,0.3617031365415476,4.5247031460782905
Denmark7041,0,0.06631274394777287,0.20254988407674857,0.33631272487428654,4.655312720105915
Denmark7042,0,0.1383168296058579,0.29473729208232813,0.44831689159468846,4.0003168486793435
Denmark7348,0,0.08906698797308077,0.23034994365121364,0.3690669593628513,4.5820669688995945
Denmark7349,0,0.08815228164369449,0.22943523732182736,0.368152253033465,4.548152262570208
Denmark7350,0,0.090080685789799,0.23136364146793187,0.3700806571795695,4.602080666716312
Denmark7043,0,0.14012922254755766,0.2965496850240279,0.45012928453638823,3.995129241621044
Denmark7044,0,0.13977589431511928,0.2961963567915895,0.44977595630394984,3.9897759133886055
Denmark7045,0,0.015361196546977762,0.15159835171366992,0.2853612072758138,4.9403612013153495
Denmark7046,0,0.01727759850881236,0.15351475367550452,0.28727760923764845,4.881277603277184
Denmark7047,0,0.018718501833207835,0.1549556569999,0.2887185125620439,4.377718506601579
Denmark7053,0,0.2515723307927449,0.3575345174759115,0.461572249730428,3.0235723069508866
Denmark7054,0,0.40150565215604983,0.5074678388392164,0.6115055710937329,2.6985056283141917
Denmark7055,0,0.15974026608776737,0.265702482846367,0.36974024463009525,3.6107402422459094
Denmark7056,0,0.08776572760428886,0.2643694372396715,0.4377657216438244,3.79176572402801
Denmark7057,0,0.08683982775324872,0.26344353738863135,0.43683982179278424,3.79283982417697
Denmark7106,0,0.08981818276293141,0.26642189239831404,0.43981817680246693,3.8128181791866522
Denmark7107,0,0.14598540726079268,0.2519476240193923,0.35598538580312056,3.467985383418935
Denmark7108,0,0.08182912240102974,0.2584328320364124,0.43182911644056526,3.672829118824751
Denmark7961,0,0.1486988906671271,0.25466110742572673,0.358698869209455,3.4556988668252693
Denmark7964,0,0.21464647066713594,0.32060865735030253,0.42464638960481904,3.256646446825278
Denmark7058,0,0.08771855102927445,0.2643222606646571,0.43771854506880997,3.8107185474529954
Denmark7105,0,0.09838057071091194,0.2901217420314825,0.47838056594254036,3.867380556405797
Denmark7117,0,0.08870103445249733,0.2804422057730679,0.46870102968412575,3.820701020147382
Denmark7118,0,0.11798577766282864,0.31477276453255637,0.5079857633577138,4.201985791967943
Denmark7125,0,0.08028747517715001,0.2669828159108469,0.4502874501431992,3.8312874716008714
Denmark7126,0,0.0815402070906262,0.27328137841119676,0.4615402023222546,3.7045401927855117
Denmark7127,0,0.08071749199666256,0.2724586633172331,0.460717487228291,3.7127174776915477
Denmark7135,0,0.07505518842743464,0.2617505291611315,0.44505516339348383,3.741055184851156
Denmark8017,0,0.0854092560628979,0.27715042738346846,0.4654092512945263,3.668409241757783
Denmark8018,0,0.08381839681143533,0.2755595681320059,0.46381839204306374,3.6828183825063205
Denmark8019,0,0.08362369670269792,0.2753648680232685,0.46362369193432634,3.684623682397583
