NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Canada5106,0.1,0.2,0.3,3.3,152,4,2,1,1,1.333333333,1.333333333,1.333333333,1,1,1,1,1.5,1.5,1.5,86.08,0,0,2.05491899,26.44061548,0.062950978,18.4823285,2.05491899,0.182505656,25.58358288
Canada5115,0.141,0.289,0.442,3.442,217,28,17,8,21,8.666666667,8.666666667,8.666666667,9,9,9,9,6.5,6.5,6.5,123.51,0,30.0015,0.466310238,8.306234171,0.057502039,26.27001781,0.466310238,0.171225862,36.08230196
Canada5120,0.1,0.2,0.3,3.3,9777,2350,1533,1425,1747,1153.666667,1153.666667,1153.666667,1149,1149,1149,1149,928.25,928.25,928.25,2860.457,0,0,3.181124193,22.38126636,0.062740764,9.860005301,3.181124193,0.192721174,13.28079232
Canada5132,0.128,0.261,0.397,3.397,683,140,101,86,97,67.33333333,67.33333333,67.33333333,59.25,59.25,59.25,59.25,49.75,49.75,49.75,467.988,0,0,5.102200128,34.76918648,0.062104001,9.601356511,5.102200128,0.19294158,12.93033523
Canada5166,0.122,0.248,0.376,3.376,105,1,4,3,4,4.333333333,4.333333333,4.333333333,4.75,4.75,4.75,4.75,5,5,5,520.491,0,0,0.053560277,0.723997077,0.059855389,19.42803389,0.053560277,0.176722438,26.83289494
Canada5167,0.129,0.261,0.397,3.397,2331,297,170,165,213,143,143,143,159.5,159.5,159.5,159.5,133.75,133.75,133.75,1857.209,0,0,0.072404841,1.084825391,0.059746679,21.77152154,0.072404841,0.174505394,30.17985866
Canada5202,0.1,0.2,0.3,3.3,2488,1,1,1,1,0,0,0,0,0,0,0,0,0,0,204.602,0,0,1.316987613,10.94305049,0.064471005,11.60738272,1.316987613,0.193270028,15.66761995
Canada5168,0.124,0.251,0.382,3.382,1221,227,162,161,227,173,173,173,172.75,172.75,172.75,172.75,139,139,139,1461.148,0,0,2.664528824,23.68583486,0.062874218,12.61397959,2.664528824,0.185930916,17.25972382
Canada5169,0.134,0.273,0.417,3.417,775,104,60,57,66,47.33333333,47.33333333,47.33333333,46.75,46.75,46.75,46.75,34.75,34.75,34.75,331.102,0,0,0.181241999,1.459756247,0.060550254,11.2601484,0.181241999,0.17867164,15.63982859
Canada5171,0.201,0.418,0.647,3.647,742,117,63,68,84,48.66666667,48.66666667,48.66666667,45.25,45.25,45.25,45.25,37.25,37.25,37.25,161.725,0,0,0.618225995,4.388494312,0.060785327,9.952146198,0.618225995,0.189739451,13.49873141
Canada5172,0.142,0.29,0.443,3.443,350,73,41,47,61,41.66666667,41.66666667,41.66666667,44.25,44.25,44.25,44.25,43,43,43,111.485,0,0,7.209765404,38.6151386,0.057110723,7.661434361,7.209765404,0.193807489,10.23658135
Canada5173,0.15,0.308,0.472,3.472,357,68,43,55,64,62,62,62,58.25,58.25,58.25,58.25,53.75,53.75,53.75,128.271,0,0,1.453825867,16.68763835,0.061992106,16.39847468,1.453825867,0.178651006,22.7284148
Canada5175,0.164,0.339,0.521,3.521,6,1,2,1,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,14.401,0,0,1.944469881,23.56427573,0.061082819,17.3471152,1.944469881,0.178674511,23.99575548
Canada5177,0.141,0.289,0.441,3.441,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.033,0,0,0.202870498,4.327498461,0.058352004,31.62068626,0.202870498,0.164803774,43.91475095
Canada5178,0.163,0.336,0.516,3.516,1430,182,127,108,121,86.66666667,86.66666667,86.66666667,101.5,101.5,101.5,101.5,90,90,90,439.253,0,0,0.063557598,1.441918175,0.055273632,33.94318818,0.063557598,0.162360505,46.85048598
Canada5179,0.172,0.355,0.547,3.547,252,98,59,60,68,38.33333333,38.33333333,38.33333333,34.75,34.75,34.75,34.75,15,15,15,100.796,0,0,0.586818981,11.18859032,0.058406048,28.0656178,0.586818981,0.167991555,38.78772254
Canada5180,0.165,0.339,0.521,3.521,344,81,46,45,61,44.33333333,44.33333333,44.33333333,47.5,47.5,47.5,47.5,39.25,39.25,39.25,151.06,0,0,1.348785622,24.55526054,0.058212324,27.05558674,1.348785622,0.172767167,36.65760384
Canada5181,0.141,0.287,0.439,3.439,36,1,1,1,2,0.333333333,0.333333333,0.333333333,1.25,1.25,1.25,1.25,0.5,0.5,0.5,14.2,0,0,0.924449963,15.89585436,0.059006673,25.24184142,0.924449963,0.17439676,34.42022131
Canada5203,0.1,0.2,0.3,3.3,49,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.98,0,0,7.880040411,127.5946329,0.059355586,23.81289453,7.880040411,0.174027656,32.48944787
Canada5204,0.1,0.2,0.3,3.3,860,132,56,46,49,29,29,29,24.75,24.75,24.75,24.75,18.75,18.75,18.75,148.427,0,0,7.113155234,35.37004681,0.059025641,7.06112815,7.113155234,0.19517814,9.426340256
Canada5218,0.1,0.2,0.3,3.3,1548,324,87,82,107,59.66666667,59.66666667,59.66666667,40.25,40.25,40.25,40.25,16,16,16,325.253,0,0,0.9600939,17.33970784,0.057971648,26.87495564,0.9600939,0.169813633,36.70607451
Canada5221,0.1,0.2,0.3,3.3,179,5,4,1,2,1,1,1,1.25,1.25,1.25,1.25,1,1,1,62.287,0,0,0.912342328,19.11884318,0.05569621,31.88575834,0.912342328,0.166694328,43.36688927
Canada5265,0.1,0.2,0.3,3.3,1375,798,427,345,375,203,203,203,208.75,208.75,208.75,208.75,210.5,210.5,210.5,445.153,0,0,0.538508581,9.391902532,0.059775486,25.45931768,0.538508581,0.170135632,35.2735078
Canada5266,0.1,0.2,0.3,3.3,2215,608,363,327,399,305.6666667,305.6666667,305.6666667,250.25,250.25,250.25,250.25,196.25,196.25,196.25,556.184,0,0,2.098981137,42.93391161,0.057911699,30.71621075,2.098981137,0.166870179,42.31335064
Canada5267,0.1,0.2,0.3,3.3,419,113,65,50,55,32.33333333,32.33333333,32.33333333,19.25,19.25,19.25,19.25,8.5,8.5,8.5,98.768,0,0,0.770365839,17.30711492,0.056483832,34.13060277,0.770365839,0.164534659,46.83890571
Canada5268,0.1,0.2,0.3,3.3,319,181,81,53,87,65.66666667,65.66666667,65.66666667,67.75,67.75,67.75,67.75,59.25,59.25,59.25,174.994,0,0,1.894790029,41.15582193,0.057671885,32.69053047,1.894790029,0.16351955,45.18211536
Canada5269,0.1,0.2,0.3,3.3,3934,1024,584,310,302,163,163,163,140.75,140.75,140.75,140.75,89.75,89.75,89.75,585.569,0,0,0.192601511,4.326782669,0.055983319,34.08660753,0.192601511,0.162968871,46.51169649
Canada5270,0.1,0.2,0.3,3.3,693,153,96,90,97,66,66,66,57,57,57,57,47.5,47.5,47.5,180.075,0,0,1.647349665,36.06238287,0.057742753,32.97675141,1.647349665,0.163413338,45.59679563
Canada5170,0.15,0.309,0.473,3.473,446,106,81,79,94,65,65,65,80.75,80.75,80.75,80.75,63.25,63.25,63.25,583.112,0,0,1.20376451,27.04241697,0.056509285,34.12487555,1.20376451,0.164558756,46.83378421
Canada5353,0.1,0.2,0.3,3.3,1745,244,165,121,161,86,86,86,78.25,78.25,78.25,78.25,52.5,52.5,52.5,397.93,0,0,1.406214844,29.22049877,0.05762062,31.29619464,1.406214844,0.165782494,43.20119431
Canada5174,0.141,0.287,0.439,3.439,1245,128,102,87,115,74,74,74,85,85,85,85,64.5,64.5,64.5,628.972,0,0,0.71127387,10.49125972,0.061166144,21.09645946,0.71127387,0.177540032,29.23530794
Canada5176,0.172,0.354,0.545,3.545,239,109,83,79,95,73,73,73,65.75,65.75,65.75,65.75,54.25,54.25,54.25,144.919,0,0,0.666319163,11.55960845,0.061635965,25.02770136,0.666319163,0.171711891,34.82064765
Canada5527,0.196,0.408,0.632,3.632,2754,1.00E+03,687,631,728,464,464,464,396,396,396,396,230.25,230.25,230.25,553.749,0,0,0.359592812,3.63325094,0.063348375,14.21860664,0.359592812,0.1875112,19.46726916
Canada5691,0.194,0.404,0.626,3.626,2657,658,373,309,320,178.3333333,178.3333333,178.3333333,92.25,92.25,92.25,92.25,71.75,71.75,71.75,329.167,0,0,0.070476341,1.443135538,0.0577673,30.11007088,0.070476341,0.168147673,41.29728766
Canada7437,0.149,0.304,0.465,3.465,79,6,5,2,8,4.333333333,4.333333333,4.333333333,5.25,5.25,5.25,5.25,4.25,4.25,4.25,164.691,0,0,0.073449242,1.443554415,0.058254178,28.72563288,0.073449242,0.167003079,39.9765868
Denmark7037,0.129,0.263,0.4,3.4,19,26,22,49,27,52.33333333,52.33333333,52.33333333,48,48,48,48,41.75,41.75,41.75,606.342,0.033,0,0.134648386,2.527079073,0.056115594,27.73722725,0.134648386,0.16878697,37.91217628
Denmark7038,0.134,0.273,0.416,3.416,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.241,0,0,0.533306048,8.31644482,0.061956639,22.24351646,0.533306048,0.176069121,30.92895163
Denmark7039,0.119,0.24,0.363,3.363,22,1,1,1,1,0,0,0,2,2,2,2,0,0,0,84.932,0.033,0,1.056403764,22.72166832,0.058274107,32.2436428,1.056403764,0.16607301,44.59714797
Denmark7040,0.114,0.23,0.348,3.348,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.053,0,0,1.453076084,31.01837775,0.05856576,31.91983528,1.453076084,0.167072639,44.04339291
Denmark7041,0.114,0.229,0.346,3.346,5,10,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.25,0.25,0.25,254.398,0.033,0,1.067135455,21.64804924,0.058513058,30.32418407,1.067135455,0.167695902,41.6627688
Denmark7042,0.11,0.22,0.332,3.332,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.054,0,0,0.763486365,14.43970669,0.060712979,27.69967245,0.763486365,0.172063699,37.98394569
Denmark7348,0.126,0.255,0.388,3.388,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16.948,0.033,0,0.455636569,7.947020877,0.059919314,25.42201901,0.455636569,0.170060345,35.2748508
Denmark7349,0.123,0.249,0.377,3.377,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16.971,0,0,0.309291267,4.701688732,0.058954019,21.94502151,0.309291267,0.176393893,30.11667473
Denmark7350,0.128,0.26,0.395,3.395,218,1,1,1,1,0,0,0,0,0,0,0,0,0,0,51.27,0.033,0,1.070918566,20.57392855,0.05998184,28.32710629,1.070918566,0.171602206,38.76085408
Denmark7043,0.11,0.222,0.335,3.335,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,38.78,0.033,0,0.757535285,14.43886448,0.060746012,27.91523586,0.757535285,0.171954684,38.29151857
Denmark7044,0.11,0.221,0.333,3.333,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.147,0,0,0.764674503,15.51406319,0.059073079,30.18564523,0.764674503,0.169327256,41.34270444
Denmark7045,0.113,0.229,0.346,3.346,103,35,18,19,40,19.33333333,19.33333333,19.33333333,11.25,11.25,11.25,11.25,10.25,10.25,10.25,547.438,0.033,0,0.397783518,7.938412986,0.057884466,29.7507416,0.397783518,0.170449995,40.38876366
Denmark7046,0.123,0.248,0.376,3.376,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,47.203,0,0,0.071727698,1.443248141,0.057361277,29.60703573,0.071727698,0.166862537,40.97827321
Denmark7047,0.1,0.2,0.3,3.3,228,79,39,32,31,25.66666667,25.66666667,25.66666667,22.5,22.5,22.5,22.5,31.5,31.5,31.5,809.097,0.033,0,0.301978434,5.417373923,0.058462781,26.35484386,0.301978434,0.169564148,36.34161695
Denmark7053,0.1,0.2,0.3,3.3,105,55,49,42,41,30.33333333,30.33333333,30.33333333,20.5,20.5,20.5,20.5,17.75,17.75,17.75,1180.449,0.033,0,0.037583853,0.721929449,0.058606803,27.79978465,0.037583853,0.167354614,38.67301977
Denmark7054,0.1,0.2,0.3,3.3,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,3.687,0,0,0.876226019,17.32252307,0.057517762,29.74719447,0.876226019,0.167405921,40.69368344
Denmark7055,0.121,0.246,0.373,3.373,63,63,26,27,22,34.66666667,34.66666667,34.66666667,31.25,31.25,31.25,31.25,22.5,22.5,22.5,877.203,0.033,0,1.228582444,22.38867119,0.059927962,26.8307595,1.228582444,0.173493382,36.54297935
Denmark7056,0.118,0.238,0.36,3.36,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,18.553,0,0,4.457457685,79.83365667,0.05737406,26.9142903,4.457457685,0.167813632,37.02499013
Denmark7057,0.117,0.236,0.358,3.358,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,41.047,0.033,0,1.374410908,21.33833701,0.05922024,23.00885276,1.374410908,0.173852309,31.24088877
Denmark7106,0.122,0.247,0.375,3.375,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,191.806,0.033,0,0.359623132,7.216287999,0.060255329,30.54383077,0.359623132,0.172206126,42.25007475
Denmark7107,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.515,0,0,0.051723717,1.081647543,0.056865353,31.06880223,0.051723717,0.16414879,43.40708168
Denmark7108,0.1,0.2,0.3,3.3,2646,367,116,111,152,72.33333333,72.33333333,72.33333333,62,62,62,62,50.5,50.5,50.5,360.968,0.033,0,4.471194485,88.44567884,0.054982939,30.21179333,4.471194485,0.162834071,41.44253455
Denmark7961,0.1,0.2,0.3,3.3,8,1,1,1,7,3,3,3,0,0,0,0,0,0,0,114.621,0.033,0,0.961788986,8.735866961,0.058899899,13.12569431,0.961788986,0.181465137,17.90606828
Denmark7964,0.1,0.2,0.3,3.3,103,75,68,31,33,28.33333333,28.33333333,28.33333333,20.25,20.25,20.25,20.25,26,26,26,503.853,0.033,0,3.111634371,55.27243508,0.057065666,26.76716352,3.111634371,0.16679624,36.70333489
Denmark7058,0.12,0.242,0.367,3.367,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.806,0,0,2.581404696,45.52099667,0.057078447,26.56915236,2.581404696,0.16964895,36.15458418
Denmark7105,0.133,0.27,0.411,3.411,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.359,0,0,0.063138266,1.084066794,0.055597146,25.36524674,0.063138266,0.168517803,34.58603647
Denmark7117,0.118,0.239,0.361,3.361,539,171,184,149,118,110,110,110,114,114,114,114,98.25,98.25,98.25,386.088,0.033,0,0.348405305,5.78330326,0.057138922,24.67515967,0.348405305,0.175211535,33.00707822
Denmark7118,0.186,0.383,0.591,3.591,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.271,0,0,13.4610951,277.5283576,0.055143878,31.48256046,13.4610951,0.164420323,42.74966225
Denmark7125,0.114,0.23,0.347,3.347,1,3,3,2,3,3.333333333,3.333333333,3.333333333,11.25,11.25,11.25,11.25,7.75,7.75,7.75,469.386,0.033,0,1.985522356,35.04410066,0.05782066,26.4226134,1.985522356,0.167634351,36.32006954
Denmark7126,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,1.25,1.25,1.25,4.633,0,0,0.315575473,5.780097992,0.05900477,26.97149268,0.315575473,0.17117379,37.21410022
Denmark7127,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,20.5,20.5,20.5,115.848,0.033,0,1.022633707,19.13924612,0.057707912,28.08366923,1.022633707,0.167776415,38.63745109
Denmark7135,0.1,0.2,0.3,3.3,980,73,135,72,98,73.66666667,73.66666667,73.66666667,46.75,46.75,46.75,46.75,38.75,38.75,38.75,2707.703,0.033,0,0.970990426,19.85036154,0.0569662,30.83155743,0.970990426,0.163441485,42.64900842
Denmark8017,0.1,0.2,0.3,3.3,17,6,9,7,2,5.666666667,5.666666667,5.666666667,2.5,2.5,2.5,2.5,4.5,4.5,4.5,169.132,0.033,0,2.305310974,39.03106388,0.059394824,25.1025117,2.305310974,0.172001364,34.57156929
Denmark8018,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.547,0,0,2.577046882,39.7857385,0.059346714,22.85490038,2.577046882,0.172313762,31.33843642
Denmark8019,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,21.137,0.033,0,0.032444958,0.720770953,0.0566025,33.09189402,0.032444958,0.160945603,46.05718242
Denmark8022,0.1,0.2,0.3,3.3,34,13,12,11,25,12.33333333,12.33333333,12.33333333,11.5,11.5,11.5,11.5,6,6,6,222.729,0.033,0,0.050380114,1.081432204,0.056059423,32.32545654,0.050380114,0.165433172,44.19946833
Denmark8080,0.1,0.2,0.3,3.3,1,4,4,4,5,2.666666667,2.666666667,2.666666667,2.75,2.75,2.75,2.75,2.25,2.25,2.25,189.702,0.033,0,0.036181432,0.721662273,0.063006216,29.33890285,0.036181432,0.175117264,40.64200917
Denmark8101,0.1,0.2,0.3,3.3,445,45,64,40,59,46.33333333,46.33333333,46.33333333,38,38,38,38,30.75,30.75,30.75,837.659,0.033,0,0.11832596,2.167040277,0.058860749,26.91634221,0.11832596,0.173167851,36.49313626
Denmark7119,0.137,0.28,0.427,3.427,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,46.847,0.033,0,0.341094047,7.568169347,0.056105319,33.77961418,0.341094047,0.156328496,47.21111407
Denmark7120,0.122,0.247,0.375,3.375,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.394,0,0,0.124368831,2.882221028,0.052477965,36.12724275,0.124368831,0.158141791,49.42550889
Denmark7121,0.12,0.243,0.368,3.368,1,1,2,1,2,4,4,4,4.75,4.75,4.75,4.75,1.25,1.25,1.25,539.639,0.033,0,0.638791149,15.12936201,0.057436349,35.88545003,0.638791149,0.159271109,50.42194854
Denmark7128,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,2.5,2.5,2.5,9.269,0,0,0.305758112,6.846924575,0.05505145,34.30889734,0.305758112,0.156184802,47.66976649
Denmark7129,0.1,0.2,0.3,3.3,1,5,11,16,11,11.33333333,11.33333333,11.33333333,27.75,27.75,27.75,27.75,30.25,30.25,30.25,311.386,0.033,0,1.124261111,25.22687867,0.054801044,34.4102304,1.124261111,0.161310002,47.4013268
Denmark7130,0.121,0.246,0.372,3.372,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.623,0,0,2.004165834,30.38751443,0.060119675,22.26990312,2.004165834,0.17792466,30.09864249
Denmark7131,0.123,0.249,0.377,3.377,128,25,43,44,46,30.66666667,30.66666667,30.66666667,39.75,39.75,39.75,39.75,35.25,35.25,35.25,363.762,0.033,0,0.940870765,16.97686044,0.058402564,26.90089371,0.940870765,0.169240942,37.04562468
Denmark7132,0.12,0.243,0.369,3.369,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.419,0,0,4.610491737,72.31100032,0.058178291,23.16927427,4.610491737,0.174675917,31.41508388
Denmark7133,0.125,0.254,0.385,3.385,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,36.07,0.033,0,6.894881921,127.451597,0.057020498,27.77542058,6.894881921,0.167848041,37.93828804
Denmark7134,0.109,0.219,0.33,3.33,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.368,0,0,0.05335008,0.724383142,0.056789953,19.56262759,0.05335008,0.175603669,26.68114977
Denmark8124,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,103.17,0.033,0,0.060122358,0.725229044,0.057992555,17.11963968,0.060122358,0.175612656,23.64171549
Denmark8136,0.1,0.2,0.3,3.3,50,7,7,6,8,5.666666667,5.666666667,5.666666667,2.75,2.75,2.75,2.75,4.25,4.25,4.25,96.306,0.033,0,0.056633254,0.724886884,0.057266471,18.33247247,0.056633254,0.176097019,25.06149275
Denmark8137,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.814,0,0,0.048603029,0.723788425,0.058310867,21.43506316,0.048603029,0.176482299,29.17758325
Denmark8138,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.545,0,0,0.066208293,0.72613963,0.055266159,15.66597638,0.066208293,0.177851211,21.36392997
Denmark8139,0.1,0.2,0.3,3.3,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0.75,0.75,0.75,0.75,0,0,0,134.468,0.033,0,21.84017407,281.2294081,0.062105645,18.5643412,21.84017407,0.180100763,25.45109573
Denmark8160,0.1,0.2,0.3,3.3,1,1,1,1,1,0.666666667,0.666666667,0.666666667,1.5,1.5,1.5,1.5,8.25,8.25,8.25,365.718,0.033,0,10.86018661,126.9143325,0.062953285,16.67910988,10.86018661,0.184961069,23.09638015
Denmark8168,0.1,0.2,0.3,3.3,15,15,8,10,9,8.666666667,8.666666667,8.666666667,8.25,8.25,8.25,8.25,6.25,6.25,6.25,286.553,0.033,0,1.100245697,15.92210586,0.061734197,20.75640459,1.100245697,0.176513784,28.7576116
Denmark8188,0.1,0.2,0.3,3.3,4,16,3,4,8,7,7,7,6.75,6.75,6.75,6.75,12.75,12.75,12.75,460.281,0.033,0,3.304561346,34.85676607,0.063252019,15.02621329,3.304561346,0.180528884,21.00535119
Denmark7136,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13.822,0,0,4.63873406,59.05679237,0.059814237,18.52880689,4.63873406,0.17392608,25.5962658
Denmark7137,0.124,0.251,0.381,3.381,1,1,1,1,1,0,0,0,1.5,1.5,1.5,1.5,0,0,0,85.712,0.033,0,1.357089801,23.48067024,0.057364185,25.79031566,1.357089801,0.172955085,34.87789475
Denmark7139,0.1,0.2,0.3,3.3,7,5,1,1,1,22.66666667,22.66666667,22.66666667,2.75,2.75,2.75,2.75,0.25,0.25,0.25,1157.794,0.033,0,0.617265433,10.47702938,0.060441035,24.6179212,0.617265433,0.173640749,34.03109997
Denmark7140,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.376,0,0,0.046766764,0.722995095,0.059060104,22.4546719,0.046766764,0.173919027,30.8074312
Denmark7141,0.1,0.2,0.3,3.3,51,2,18,2,4,1.666666667,1.666666667,1.666666667,1.25,1.25,1.25,1.25,3.75,3.75,3.75,1727.842,0.033,0,1.832397455,27.48183599,0.063138444,21.60926968,1.832397455,0.179347435,30.15005494
Denmark7143,0.112,0.226,0.341,3.341,26,22,40,10,14,10,10,10,7.75,7.75,7.75,7.75,10.75,10.75,10.75,1416.588,0.032,0,29.77611369,387.5739652,0.061490464,18.59038253,29.77611369,0.178235939,25.92615232
Denmark7148,0.111,0.224,0.339,3.339,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1242.435,0.033,0,14.71839914,180.8905316,0.061226685,17.6591944,14.71839914,0.179818836,24.33715412
Denmark8176,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,163.251,0.033,0,1.244018786,13.80496437,0.063182577,15.77191338,1.244018786,0.183501107,21.75338906
Denmark8189,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,145.909,0.033,0,153.2375454,1105.461014,0.059536306,10.28780422,153.2375454,0.190138128,13.7656882
Denmark7150,0.12,0.242,0.367,3.367,2,1,4,3,1,3,3,3,2.75,2.75,2.75,2.75,1.75,1.75,1.75,2560.77,0.033,0,20.42085207,173.5009783,0.060639288,12.10804823,20.42085207,0.18834754,16.27938689
Denmark7151,0.121,0.246,0.373,3.373,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.502,0,0,14.87963577,110.964606,0.064865663,10.46126648,14.87963577,0.195883403,14.39911146
Denmark7152,0.125,0.254,0.385,3.385,8,1,1,1,1,0,0,0,0,0,0,0,2.75,2.75,2.75,18.726,0,0,0.872619775,9.083103894,0.063494496,14.52524819,0.872619775,0.184311021,20.15160767
Denmark7153,0.114,0.23,0.348,3.348,7,1,1,1,1,0,0,0,0,0,0,0,3.75,3.75,3.75,23.366,0,0,0.215911775,2.180757194,0.059420078,14.27520598,0.215911775,0.185062558,19.46536458
Denmark7154,0.113,0.229,0.345,3.345,1,1,1,1,1,1.666666667,1.666666667,1.666666667,0.25,0.25,0.25,0.25,0,0,0,15.404,0,0,0.142691346,1.453643927,0.059907047,14.3509204,0.142691346,0.179084066,19.84837319
Denmark7155,0.117,0.237,0.36,3.36,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.283,0,0,9.930655758,87.72686944,0.064976975,12.40500611,9.930655758,0.192035949,17.19066757
Denmark7156,0.11,0.222,0.335,3.335,1,1,1,1,1,4,4,4,0,0,0,0,0.75,0.75,0.75,320.506,0.033,0,4.963580228,50.15675123,0.063282009,14.18760931,4.963580228,0.184811038,19.63369443
Denmark7142,0.196,0.404,0.624,3.624,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.454,0,0,16.08461419,95.85211163,0.062972343,8.403046286,16.08461419,0.189746632,11.52204915
Denmark7157,0.124,0.253,0.384,3.384,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.066,0,0,29.71213825,275.833777,0.060598739,13.14139899,29.71213825,0.186769464,18.02376316
Denmark7158,0.113,0.227,0.343,3.343,1,1,1,1,1,1.333333333,1.333333333,1.333333333,4.5,4.5,4.5,4.5,0.5,0.5,0.5,589.429,0.033,0,1.863540889,12.81797007,0.064886832,9.574820076,1.863540889,0.189974497,13.23639167
Denmark7163,0.118,0.24,0.364,3.364,6,1,1,1,1,0,0,0,3.25,3.25,3.25,3.25,0.25,0.25,0.25,575.112,0.032,0,36.60010711,232.8823628,0.059911339,9.104476877,36.60010711,0.191019872,12.2751133
Denmark7149,0.114,0.23,0.348,3.348,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.871,0,0,7.7633387,54.83379383,0.061824594,9.946043161,7.7633387,0.18954678,13.56414358
Denmark7164,0.151,0.308,0.471,3.471,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.056,0,0,0.330247007,1.83845021,0.063150164,7.646602741,0.330247007,0.194274226,10.36793508
Denmark7165,0.15,0.308,0.471,3.471,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.767,0,0,0.571499327,4.378797215,0.06357463,10.70817401,0.571499327,0.190716514,14.68397595
Denmark7166,0.122,0.248,0.376,3.376,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,23.192,0,0,4.043097747,25.66886154,0.064320516,8.883471883,4.043097747,0.193951733,12.12396551
Denmark7167,0.12,0.244,0.369,3.369,1,1,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,24.193,0.033,0,35.28597611,128.1892807,0.0453863,5.693645436,35.28597611,0.195909665,6.954328731
Denmark7168,0.177,0.364,0.56,3.56,1,1,1,1,3,2.666666667,2.666666667,2.666666667,2.25,2.25,2.25,2.25,2.5,2.5,2.5,124.162,0,0,1.930377772,14.96252992,0.062032333,10.9266913,1.930377772,0.185302648,14.97049098
Denmark7169,0.139,0.282,0.429,3.429,1,1,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.25,177.368,0.033,0,27.24938706,125.1664696,0.056526735,6.654969166,27.24938706,0.194112844,8.739256887
Denmark7170,0.125,0.253,0.384,3.384,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,201,0.033,0,172.2023501,1027.140235,0.062342122,8.422915262,172.2023501,0.193399725,11.37260397
Denmark7171,0.118,0.239,0.361,3.361,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,258.931,0.033,0,1.941674732,12.46389522,0.062975574,9.001498356,1.941674732,0.197372752,12.07537465
