NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Philippines11197,0.152,0.312,0.478,3.478,65,3,6,5,7,3.333333333,3.333333333,3.333333333,3.75,3.75,3.75,3.75,6.75,6.75,6.75,106.133,97.244,19.783,0.044834925,0.723106521,0.050034556,24.26252068,0.044834925,0.168879595,32.48936215
Philippines11198,0.161,0.332,0.51,3.51,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.539,797.853,1.102,0.079793296,0.72770908,0.057728416,13.21578553,0.079793296,0.182112375,17.86791715
Philippines11199,0.172,0.355,0.546,3.546,17,2,2,2,1,0.666666667,0.666666667,0.666666667,1.25,1.25,1.25,1.25,3.25,3.25,3.25,33.249,158.759,9.855,0.061516137,0.725143264,0.053996697,17.58715026,0.061516137,0.182859486,23.32335431
Philippines11200,0.159,0.329,0.504,3.504,6,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,1.725,171.807,1.414,0.119285042,1.4503109,0.057031058,17.54628443,0.119285042,0.173941751,24.18425901
Philippines11201,0.132,0.27,0.411,3.411,49,6,3,7,4,4.666666667,4.666666667,4.666666667,2.5,2.5,2.5,2.5,3.25,3.25,3.25,42.262,130.108,72.656,0.241440625,3.259371499,0.060242898,19.37861914,0.241440625,0.177110595,26.7552511
Philippines11202,0.155,0.318,0.488,3.488,12,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,15.546,495.44,84.55,0.699145347,11.92410813,0.058778142,25.2206905,0.699145347,0.173953514,34.15674811
Philippines11203,0.169,0.35,0.539,3.539,90,17,8,4,10,11.33333333,11.33333333,11.33333333,9.25,9.25,9.25,9.25,5.25,5.25,5.25,98.09,174.835,59.782,0.21184059,3.97140583,0.058376418,27.71533032,0.21184059,0.170352626,37.7493733
Philippines11204,0.143,0.294,0.449,3.449,22,2,1,2,3,1.666666667,1.666666667,1.666666667,1.25,1.25,1.25,1.25,0.25,0.25,0.25,15.454,265.111,0,0.071808751,1.443640361,0.057646478,29.75599667,0.071808751,0.166369937,40.92475117
Philippines11205,0.138,0.281,0.429,3.429,398,79,74,76,62,44,44,44,34.5,34.5,34.5,34.5,43.25,43.25,43.25,350.7,120.63,117.57,0.117491736,2.166658348,0.057556324,27.31873919,0.117491736,0.16985269,37.19411025
Philippines11143,0.153,0.314,0.482,3.482,9,2,2,3,1,0.666666667,0.666666667,0.666666667,0.5,0.5,0.5,0.5,0,0,0,6.664,1489.35,0.0105,0.037086573,0.721956548,0.052904872,29.30542465,0.037086573,0.167972015,39.20116197
Philippines11144,0.202,0.422,0.653,3.653,37,38,31,35,24,15,15,15,21,21,21,21,10.25,10.25,10.25,37.742,458.983,0,0.05429319,0.724373464,0.053649798,19.64987742,0.05429319,0.175452858,26.45678479
Philippines11145,0.163,0.338,0.519,3.519,3,3,2,1,1,1.333333333,1.333333333,1.333333333,2.5,2.5,2.5,2.5,0.5,0.5,0.5,9.309,214.22,0,4.397146497,86.22189592,0.053952664,30.05692578,4.397146497,0.165126292,40.94007889
Philippines11146,0.121,0.247,0.374,3.374,3,2,1,1,2,1.333333333,1.333333333,1.333333333,2.25,2.25,2.25,2.25,1.5,1.5,1.5,15.106,247.104,0.75,1.962499355,27.51775098,0.058957396,20.6888297,1.962499355,0.174494473,28.22758053
Philippines11147,0.11,0.222,0.336,3.336,17,2,3,2,1,1.333333333,1.333333333,1.333333333,2.5,2.5,2.5,2.5,2.75,2.75,2.75,54.203,109.873,0,0.952079756,13.0379433,0.05936924,20.13924242,0.952079756,0.178791412,27.06489444
Philippines11148,0.155,0.32,0.491,3.491,1,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,8.778,398.935,0,0.248654076,3.261092826,0.059775695,18.92097592,0.248654076,0.174082855,26.09633856
Philippines11191,0.109,0.219,0.331,3.331,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,10.722,342.739,0,1.328517363,3.020845554,0.023278092,4.708770958,1.328517363,0.17102861,4.803564209
Philippines11192,0.112,0.226,0.342,3.342,14,2,2,1,1,0.333333333,0.333333333,0.333333333,1,1,1,1,0.5,0.5,0.5,57.732,189.317,0,9.573189389,18.35340933,0.016803446,4.450367996,9.573189389,0.158646479,4.281605204
Philippines11209,0.12,0.242,0.367,3.367,6,4,1,2,2,1,1,1,0.5,0.5,0.5,0.5,1,1,1,50.091,211.864,0,0.250715707,1.82603606,0.058014289,10.63035118,0.250715707,0.184746177,14.34196764
Philippines11190,0.105,0.211,0.317,3.317,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.928,179.928,0,0.935227397,9.451523826,0.059926967,14.5517752,0.935227397,0.176863908,19.84067117
Philippines10681,0.135,0.277,0.423,3.423,76,10,5,7,10,7,7,7,7,7,7,7,7.25,7.25,7.25,145.329,86.133,1.934,1.051666439,18.05899202,0.058115539,25.44205959,1.051666439,0.16964944,35.17421386
Philippines10566,0.159,0.327,0.503,3.503,16,3,6,4,2,1.333333333,1.333333333,1.333333333,2.25,2.25,2.25,2.25,1.75,1.75,1.75,10.142,603.97,0,14.01571597,230.6810109,0.057508831,24.6640971,14.01571597,0.170651776,33.80994906
Philippines10570,0.118,0.24,0.363,3.363,3,1,1,1,1,0.333333333,0.333333333,0.333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.981,200.536,0,0.094457889,1.804045542,0.055550331,28.87649022,0.094457889,0.169379616,39.0457643
Philippines10571,0.118,0.24,0.363,3.363,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.432,480.143,0,0.079655485,1.444225783,0.057162082,26.87151771,0.079655485,0.168243254,36.95810164
Philippines10572,0.128,0.261,0.398,3.398,78,7,7,14,13,16,16,16,8,8,8,8,7.75,7.75,7.75,129.469,440.195,0,8.586813162,115.1756376,0.056810803,19.97247801,8.586813162,0.176003074,26.80818604
