"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Algeria880",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria881",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria882",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria883",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria884",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria885",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria886",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria887",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria888",0.036054,0.07578,0.12619,0.18311,0.23992,0.30269,0.36394,0.42551,0.48622,0.542765,0.59931,0.65615,0.71289,0.76857,0.82339,0.88135,0.94567,1.0038,1.0626,1.118
"Algeria889",0.024169,0.052741,0.09136,0.13582,0.18139,0.23147,0.28,0.32778,0.3734,0.420195,0.46699,0.51431,0.55962,0.60265,0.64515,0.691,0.74415,0.78994,0.83497,0.88184
"Algeria890",0.024169,0.052741,0.09136,0.13582,0.18139,0.23147,0.28,0.32778,0.3734,0.420195,0.46699,0.51431,0.55962,0.60265,0.64515,0.691,0.74415,0.78994,0.83497,0.88184
"Algeria891",0.024169,0.052741,0.09136,0.13582,0.18139,0.23147,0.28,0.32778,0.3734,0.420195,0.46699,0.51431,0.55962,0.60265,0.64515,0.691,0.74415,0.78994,0.83497,0.88184
"Algeria892",0.024169,0.052741,0.09136,0.13582,0.18139,0.23147,0.28,0.32778,0.3734,0.420195,0.46699,0.51431,0.55962,0.60265,0.64515,0.691,0.74415,0.78994,0.83497,0.88184
"Algeria893",0.024169,0.052741,0.09136,0.13582,0.18139,0.23147,0.28,0.32778,0.3734,0.420195,0.46699,0.51431,0.55962,0.60265,0.64515,0.691,0.74415,0.78994,0.83497,0.88184
"Algeria894",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria895",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
