"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Albania489",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania490",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania491",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania492",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania493",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania494",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania495",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania496",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania497",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
"Albania498",0.094859,0.18157,0.27873,0.39494,0.52577,0.66553,0.80537,0.95909,1.1292,1.19035,1.2515,1.4518,1.6428,1.8572,2.0814,2.3152,2.5414,2.7897,3.0409,3.3124
