"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Albania489",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania490",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania491",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania492",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania493",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania494",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania495",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania496",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania497",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania498",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania499",-0.030091,-0.047185,-0.057216,-0.057872,-0.049716,-0.047487,-0.033952,-0.0053274,0.021608,0.222379,0.42315,0.47085,0.51697,0.5639,0.60099,0.62381,0.66728,0.72203,0.76443,0.79474
"Albania500",-0.036199,-0.059136,-0.073059,-0.080204,-0.076663,-0.074124,-0.062654,-0.042025,-0.023062,0.151589,0.32624,0.37092,0.4127,0.44932,0.47945,0.50652,0.54364,0.5895,0.62553,0.64875
"Albania501",-0.036199,-0.059136,-0.073059,-0.080204,-0.076663,-0.074124,-0.062654,-0.042025,-0.023062,0.151589,0.32624,0.37092,0.4127,0.44932,0.47945,0.50652,0.54364,0.5895,0.62553,0.64875
"Albania502",-0.036199,-0.059136,-0.073059,-0.080204,-0.076663,-0.074124,-0.062654,-0.042025,-0.023062,0.151589,0.32624,0.37092,0.4127,0.44932,0.47945,0.50652,0.54364,0.5895,0.62553,0.64875
"Albania503",-0.036199,-0.059136,-0.073059,-0.080204,-0.076663,-0.074124,-0.062654,-0.042025,-0.023062,0.151589,0.32624,0.37092,0.4127,0.44932,0.47945,0.50652,0.54364,0.5895,0.62553,0.64875
"Albania504",-0.036599,-0.060387,-0.080449,-0.090322,-0.092341,-0.10059,-0.091936,-0.072378,-0.056378,0.145381,0.34714,0.3834,0.42043,0.45834,0.48172,0.50097,0.53606,0.58015,0.60463,0.61968
"Algeria867",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria868",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria869",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria870",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria871",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria872",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria873",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
"Algeria874",-0.028981,-0.041112,-0.05396,-0.058002,-0.050599,-0.04203,-0.02985,-0.0041494,0.021541,0.2044855,0.38743,0.43105,0.47689,0.51944,0.54916,0.58462,0.63199,0.6728,0.70266,0.72985
