"country","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"FRA",35207.428833073,39330.350667023,44350.674004713,48885.030597423,54005.070406915,58436.580821785,63182.023848748,68227.937390408,73837.961723949,80139.352140618,87021.720443985,94495.146600927,102610.39067,111422.57197,120991.54348,131382.29835,142665.41135,154917.51819,168221.83609,182668.72893
"FSM",3207.766769807,5523.674741112,9511.596333242,15622.289006465,24468.32944288,34826.062326271,45003.188065707,52748.687628915,58862.50524986,62520.024669355,66437.801021099,70601.082259053,75025.252785934,79726.66105797,84722.679996676,90031.771186303,95673.553094176,101668.87357,108039.88686,114810.13553
"GAB",6557.560217002,8845.11254763,12208.552310148,17290.642370386,24966.143026372,36858.047201195,55603.965920333,77712.890998752,100093.03887,118427.79027,127037.2569,136272.61478,146179.36494,156806.31629,168205.82603,180434.05764,193551.25755,207622.052,222715.76545,238906.76207
"GBR",37423.556288569,43858.730767525,50754.41165374,57081.953457023,63485.15039569,69440.117726814,76125.934119058,83500.80960137,91669.985017662,100465.62859,110159.90729,120789.62073,132445.03227,145225.11509,159238.39266,174603.86022,191451.99531,209925.86569,230182.3442,252393.44094
"GEO",1897.341120581,3297.016151338,5295.81879198,8126.052385872,11847.385194306,16332.26282002,21390.035227078,25878.378161194,30042.009713433,34377.658076334,37993.187937513,41988.966393521,46404.984538176,51285.439365342,56679.176107308,62640.177094285,69228.102027712,76508.885074601,84555.394758841,93448.163253877
"GHA",979.394823368,1283.199857025,1734.803963729,2404.41298267,3424.781926056,5012.947066768,7515.930997469,10471.748695225,13514.284905227,16095.419869741,17379.580153305,18766.196144594,20263.442190829,21880.144823028,23625.834789973,25510.803243661,27546.162407477,29743.911084713,32117.005393651,34679.435146173
"GIN",327.344153296,416.940162305,543.687467623,727.381676431,999.850239686,1412.134308511,2047.139948289,2765.848659998,3472.662089603,4036.767651688,4254.34505026,4483.649634653,4725.313487466,4980.002759862,5248.419507831,5531.303627419,5829.434894266,6143.635113075,6474.770382929,6823.753484713
"GLP",25750,31694.400974092,37149.324935091,43543.095963893,51037.299047386,59821.329567661,66754.899202456,72677.524138576,77193.462676517,81990.006547678,87127.856547429,92587.666548543,98389.611963399,104555.13248,111107.0113,118069.45931,125468.20457,133330.58734,141685.66117,150564.30022
"GMB",485.018990862,609.030606377,789.345221195,1057.137890884,1462.152625805,2084.443124236,3056.773871819,4180.934554229,5311.593497513,6241.352800194,6649.061724715,7083.403748253,7546.118646224,8039.059842796,8564.201834859,9123.648100957,9719.639526859,10354.563381523,11030.962879406,11751.547367411
"GNB",439.256705461,581.845631602,780.487847474,1063.091916814,1471.073303143,2072.89016937,2975.583703816,3948.979790295,4837.998961196,5463.214231843,5593.175181807,5726.227690659,5862.445301539,6001.903307059,6144.678790918,6290.850670511,6440.49974055,6593.708717721,6750.562286403,6911.147145481
"GNQ",16755.583266024,21122.482586179,28268.698659988,39064.276338372,55350.524435783,80894.298207002,121257.49297,168729.50589,217486.08349,258775.63798,279153.4721,301136.00181,324849.59224,350430.55944,378025.95392,407794.40602,439907.03775,474548.44648,511917.7661,552229.81172
"GRC",22110.010487216,26463.478797442,32113.416723305,37142.479962961,41078.505430352,46053.346927847,51766.270095765,57635.377481738,63819.046975016,70832.593250861,78282.122112733,86515.124764239,95613.999863123,105669.81201,116783.20315,129065.39984,142639.32644,157640.83535,174220.06673,192542.9511
"GRD",6272.259743171,8145.624543829,11004.438368737,17040.832444661,30067.33024635,42661.479549816,54502.286095421,66775.951693885,77221.32592236,88067.712108415,97329.874243679,107566.14647,118878.97685,131381.58799,145199.11022,160469.83394,177346.5937,195998.29778,216611.61869,239392.8615
"GTM",2260.831368842,2378.330877209,2585.393627425,3198.369475699,4483.860715327,5323.247143204,5887.084249067,6355.821269753,6675.432527504,7138.897840435,7638.333811212,8172.710230008,8744.471524095,9356.233132426,10010.793469575,10711.146726685,11460.496567956,12262.270785341,13120.136978484,14038.01933162
"GUY",2151.378390542,2821.422634241,3688.839839485,5489.151017532,9226.416522936,12364.768918259,15258.434883619,18183.677423042,20764.671670017,23647.226484659,26134.227003994,28882.787651201,31920.416945062,35277.516500531,38987.685298321,43088.05595479,47619.66635765,52627.87038694,58162.791831901,64279.826046705
"GYF",19600,33750.591204077,58117.469725751,95454.840236128,149505.65035,212793.15816,274977.12564,322303.44402,359659.90849,382007.9736,405946.25279,431384.60854,458417.04218,487143.44554,517669.97014,550109.41938,584581.66544,621214.0922,660142.06596,701509.43567
"HKG",30570.049242224,37135.073288502,41639.778448344,46958.105894545,52399.685447388,57707.375175937,62623.790255345,68098.147539884,73638.467032651,79377.106167942,85605.465883421,92322.536596544,99566.665231722,107379.20762,115804.7646,124891.43664,134691.09841,145259.69497,156657.56113,168949.7659
"HND",1516.289090426,1687.388752,1953.152772174,2581.847848803,3878.859067787,4929.675741189,5827.415302746,6710.269749279,7484.447753733,8443.690715381,9331.721419865,10313.147128818,11397.790280605,12596.50634845,13921.292485662,15385.407597179,17003.505039143,18791.779274613,20768.127953199,22952.33103675
"HRV",10645.621608788,16094.698595948,23386.478961326,32688.541749317,43635.132794544,55489.281550539,65461.110075366,74736.196664557,84372.05878283,94437.943360896,104370.06857,115346.7645,127477.88962,140884.8563,155701.84598,172077.15207,190174.66413,210175.50815,232279.8593,256708.94535
"HTI",447.216266273,530.99246073,644.29276343,884.797297925,1372.674385474,1776.674142583,2124.98129413,2463.723137052,2752.08759273,3099.676565797,3425.672395959,3785.953506869,4184.125712978,4624.174055556,5110.50268632,5647.978945669,6241.982076657,6898.45706227,7623.974124815,8425.794482906
"IDN",1572.791015478,2340.439554391,3579.364542477,5356.309149763,8226.556268299,12311.506950382,16981.949043097,21415.519487829,24543.131585116,28103.283238152,31058.931337248,34325.427660435,37935.464400822,41925.172019482,46334.480851251,51207.520740935,56593.062709637,62545.007071523,69122.922886283,76392.644146305
"IND",993.000892338,1737.739251686,2702.214209629,4121.495121475,6154.755060125,8972.866619763,13357.98833798,18357.589382706,23146.655363356,27972.459534699,30914.348784797,34165.639228205,37758.870872477,41730.005987635,46118.789028657,50969.144411338,56329.616122609,62253.853565072,68801.148498258,76037.028450479
"IRL",45342.637517554,49730.396189473,56227.503814288,61241.069226501,63945.428314564,67976.848617876,72978.654302952,78157.478095402,83666.968900607,90119.75549503,97118.436987968,104660.63463,112788.55778,121547.69375,130987.0624,141159.49046,152121.90716,163935.66288,176666.87241,190386.78502
"IRQ",1229.425094276,1485.924976353,1699.069811412,2015.565656744,2240.581522098,2325.663012969,2360.362722825,2396.146691927,2428.164947776,2512.762059266,2601.598399582,2693.575465194,2788.804293491,2887.399847486,2989.481154601,3095.171450361,3204.598327167,3317.893888328,3435.194907543,3556.642994015
"ISL",51410.426107832,53919.918193899,57971.157724148,62160.052237017,67380.674126107,72294.745579026,78089.923903749,84566.78880365,91687.055126759,99485.357785932,108000.56282,117244.60594,127279.87024,138174.07836,150000.74948,162839.69549,176777.55958,191908.40094,208334.32953,226166.19516
"ISR",22125.522259749,24243.786121406,26091.745866142,28499.04801022,31637.477481105,35794.465731402,39121.066733018,42231.111738112,45021.404349607,48580.274723312,52446.511403508,56620.440581377,61126.549809275,65991.275469071,71243.15786876,76913.008682366,83034.091715461,89642.31805682,96776.456761119,104478.3623
"ITA",28851.553684462,33406.769761805,39436.593409425,45372.095064226,50986.771070414,58047.015541439,65995.298849578,73733.875673742,81413.086552264,89190.258625977,97758.90688212,107150.75864,117444.90034,128728.01641,141095.11917,154650.34892,169507.85088,185792.7364,203642.13645,223206.3564
"JAM",4033.00262641,5253.424081607,7024.100500924,10744.634557075,18737.602033331,26361.133959501,33160.415882084,39701.250873137,45345.45207258,51566.516060596,56989.813896652,62983.484945123,69607.515880405,76928.202230513,85018.811885005,93960.318384652,103842.21133,114763.39203,126833.16333,140172.32356
"JOR",2752.87753048,3422.958233927,4435.05766447,5947.06587662,8275.297530123,10783.15046763,13070.974501197,16162.520456385,20251.425250943,23159.383704292,25595.077350539,28286.935133712,31261.898071271,34549.740592214,38183.368529573,42199.148453049,46637.271637866,51542.156312564,56962.892211555,62953.731881688
"JPN",36184.503862356,42158.853219074,49801.518328385,57839.67895157,67299.741162181,78162.447752097,90841.106380892,104344.0107,117781.59455,131551.0029,145386.34265,160676.75778,177575.27991,196251.03513,216890.93667,239701.5556,264911.18827,292772.14114,323563.25601,357592.70071
"KEN",578.812410394,726.664870379,943.720640628,1251.569196373,1703.862004469,2389.385669346,3440.268484188,4613.900351014,5749.539814074,6638.189970123,6948.546984217,7273.414200132,7613.470017091,7969.42455169,8342.02112079,8732.037793739,9140.289017162,9567.627315717,10014.945072369,10483.176391894
"KHM",601.978752623,959.023744054,1572.084882651,2539.344628237,4004.621656112,5880.488259056,8041.408039056,10155.538487309,12289.085231018,14170.787557012,15661.142294238,17308.239007437,19128.562394121,21140.330862579,23363.678867819,25820.858423972,28536.461809922,31537.667697103,34854.513162772,38520.19431118
"KIR",1117.942592236,1720.633647696,2700.234273236,4196.62644255,6377.214495879,8960.89216612,11737.175744532,14265.006062292,16689.275938789,18781.34121159,20756.592109505,22939.581957783,25352.158852555,28018.468674278,30965.196747825,34221.834918187,37820.976714766,41798.643558376,46194.645275727,51052.978529554
"KOR",21118.632716233,27455.097067382,33118.330502526,40175.66050316,48908.669495804,58876.735833585,69162.730089632,80520.499794361,92320.755888411,104221.65259,115182.73947,127296.61393,140684.51569,155480.43536,171832.45549,189904.23259,209876.63508,231949.55347,256343.90096,283303.82436
"KWT",33425.030091224,36219.02207026,37351.451508224,38472.404321766,40058.705819093,41105.130877702,43186.267003764,45917.573911436,49211.520413093,53403.489021684,57981.332383056,62951.596730868,68347.921099583,74206.828122348,80567.971218268,87474.402969028,94972.866501235,103114.11185,111953.23942,121550.07295
"LBN",7129.207402253,9878.830614224,14047.976341534,20582.637078645,30932.099019356,43133.446638709,55515.647224858,71964.856139582,92996.686866675,107718.7633,119047.64453,131567.9946,145405.12138,160697.51149,177598.2163,196276.38376,216918.95124,239732.51649,264945.40534,292809.95686
"LBR",189.371565097,238.487767827,307.200263155,405.348502961,551.207484761,769.52231958,1100.3773226,1464.540799999,1810.487894132,2072.088534374,2150.050796573,2230.946386294,2314.885669888,2401.983166237,2492.357702989,2586.132578681,2683.435730952,2784.399911092,2889.162865152,2997.867521875
"LBY",8543.937826751,12487.788926824,16821.558160366,23181.311788941,29685.802734376,35700.384249936,41849.035552165,48267.736874628,54891.035852243,63054.758065362,69686.284860134,77015.255416155,85115.020534103,94066.645385702,103959.72084,114893.26012,126976.68977,140330.94481,155089.67911,171400.60305
"LKA",1594.853973177,2666.485489205,4620.015321948,7777.671292351,12800.169675289,19485.887955777,27045.146755917,34104.61244906,40853.021324606,46403.424553337,51283.715315466,56677.270737524,62638.071335011,69225.774803802,76506.313094416,84552.552281139,93445.021830185,103272.72057,114134.0074,126137.58574
"LTU",8231.944368966,12098.633497535,16907.782688497,22655.40351805,28774.755921603,33877.758702071,39047.836251856,44586.929585132,49980.742355256,55631.336750162,61482.135509952,67948.268146785,75094.449889433,82992.20212669,91720.568217474,101366.90458,112027.755,123809.81684,136831.00895,151221.65178
"LVA",6883.521351878,10082.350674746,14173.666973224,19033.003265495,24104.026994957,28480.572113201,32985.411912945,37606.349908321,42087.060107556,46865.114537181,51793.961658776,57241.180157205,63261.287626072,69914.535324353,77267.511191248,85393.806280652,94374.751285162,104300.23052,115269.58152,127392.58924
"MAC",37544.238698341,41917.155009045,45046.415329933,49912.469115395,55987.653622511,62929.628397905,70280.149644306,78885.272835299,87674.287419531,96014.750684484,105200.88242,115265.88969,126293.8582,138376.91846,151616.0155,166121.75218,182015.3132,199429.47751,218509.72756,239415.46472
"MAR",2369.301880882,3194.56140108,4423.108627515,6327.243553275,9271.67672548,12604.946382416,15870.892856263,20190.454123242,25692.14433564,29554.598800009,32662.883089164,36098.068490648,39894.535494568,44090.280418733,48727.295688584,53851.990111495,59515.653351722,65774.969254595,72692.583157498,80337.728865462
"MCO",188409.59748,231904.05165,271817.06244,318599.50228,373433.66874,437705.34465,488437.4248,531772.54637,564815.11577,599910.84005,637503.85948,677452.62083,719904.74511,765017.10392,812956.39912,863899.77882,918035.492,975563.58415,1036696.6365,1101660.5514
"MDG",281.840974012,347.494989612,438.398280321,571.727860093,767.337090911,1059.638671313,1504.706516715,1993.098495764,2456.897118458,2806.568853221,2906.646131481,3010.291988367,3117.633673078,3228.802972294,3343.936371973,3463.175224922,3586.665924339,3714.560083545,3847.014722121,3984.192458692
"MDV",4554.184462216,7236.238945033,12039.162980951,19780.98992522,31678.559258943,47675.186803098,67413.914580867,88958.670440785,112557.33244,133227.52392,147239.18492,162724.46518,179838.34658,198752.11059,219655.05253,242756.37607,268287.28701,296503.30729,327686.83233,362149.95733
"MEX",8129.118929205,9372.635443107,11158.600941207,14347.17529755,20882.956746027,28291.0353634,35126.233282461,41887.183057562,47879.023566033,54866.522694433,60636.885257825,67014.122149638,74062.058900149,81851.233629251,90459.603015663,99973.322513579,110487.60863,122107.69186,134949.86992,149142.67163
"MHL",2718.960877957,4681.966178153,8062.20033215,13241.733480288,20739.796649288,29519.197558151,38145.512599514,44710.737506392,49892.919416491,52993.098739244,56313.87652435,59842.748671937,63592.755278784,67577.753590782,71812.469209052,76312.550504854,81094.626444369,86176.368037043,91576.553634542,97315.138321625
"MLT",16150.627379603,22185.958634469,29612.107697662,38473.565359312,47946.011390091,55299.298005658,62318.99326002,70231.706253267,78044.629497951,85080.723649914,92797.235269589,101213.60638,110393.31167,120405.58279,131325.93042,143236.71379,156227.76181,170397.05054,185851.44214,202707.49074
"MMR",363.537944184,604.125199446,1029.26546382,1723.890888591,2813.83367957,4247.554109251,5906.866685523,7493.751238402,9027.857720869,10304.309601851,11388.023302813,12585.712168637,13909.363072048,15372.223556183,16988.934420451,18775.676250576,20750.331359341,22932.662758776,25344.511955036,28010.017545526
"MNE",4384.986757282,6445.776370435,9140.74514993,12508.063672711,16478.820744805,20815.32157286,24581.011541884,28365.479610506,32545.44248115,37068.102817616,40966.589222268,45275.083021201,50036.705068492,55299.111278026,61114.969579903,67542.487038787,74645.992409769,82496.579962172,91172.821014895,100761.5503
"MOZ",397.90301686,519.601054614,687.755418414,935.025184527,1305.454243674,1863.288838342,2727.371613339,3711.591417243,4680.474118304,5450.565038845,5754.67676824,6075.756269471,6414.750251438,6772.658244224,7150.535546223,7549.496335713,7970.716956025,8415.439384018,8884.974892071,9380.707914391
"MRT",649.951383111,852.203940288,1147.468922597,1581.230743828,2234.492880884,3233.120958005,4779.356657948,6555.840919368,8327.596926817,9761.754461662,10374.419222827,11025.535894562,11717.51778594,12452.929669527,13234.497287493,14065.117454351,14947.868793751,15886.023149139,16883.057710574,17942.667902635
"MTQ",28157.894736842,34658.159470903,40623.175963769,47614.831559903,55809.821135108,65415.250523656,72997.181549952,79473.633958382,84411.860055057,89656.93102301,95275.223817832,101245.58325,107590.07133,114332.13261,121496.68073,129110.19056,137200.796,145798.39392,154934.75467,164643.63948
