"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Algeria880",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria881",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria882",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria883",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria884",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria885",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria886",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria887",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria888",0.028786,0.067058,0.11991,0.18017,0.24987,0.32375,0.4046,0.49716,0.59149,0.692605,0.79372,0.90294,1.0064,1.1076,1.2142,1.3245,1.4311,1.5357,1.648,1.756
"Algeria889",0.022809,0.054026,0.095868,0.1475,0.21042,0.27496,0.34439,0.42532,0.50934,0.58463,0.65992,0.7536,0.84312,0.93748,1.0322,1.1285,1.2237,1.317,1.4165,1.512
"Algeria890",0.022809,0.054026,0.095868,0.1475,0.21042,0.27496,0.34439,0.42532,0.50934,0.58463,0.65992,0.7536,0.84312,0.93748,1.0322,1.1285,1.2237,1.317,1.4165,1.512
"Algeria891",0.022809,0.054026,0.095868,0.1475,0.21042,0.27496,0.34439,0.42532,0.50934,0.58463,0.65992,0.7536,0.84312,0.93748,1.0322,1.1285,1.2237,1.317,1.4165,1.512
"Algeria892",0.022809,0.054026,0.095868,0.1475,0.21042,0.27496,0.34439,0.42532,0.50934,0.58463,0.65992,0.7536,0.84312,0.93748,1.0322,1.1285,1.2237,1.317,1.4165,1.512
"Algeria893",0.022809,0.054026,0.095868,0.1475,0.21042,0.27496,0.34439,0.42532,0.50934,0.58463,0.65992,0.7536,0.84312,0.93748,1.0322,1.1285,1.2237,1.317,1.4165,1.512
"Algeria894",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria895",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria896",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria897",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria898",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria899",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
